"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm),Outer Inseam,Inner Inseam
89.51591796875,101.6998291015625,48.641091918945314,101.95630493164063,83.0517333984375,59.309564208984376,47.61686401367187,105.42191162109376,64.14613037109375,102.9891357421875,7.135212707519531,8.920008850097656,98.28669891357421,74.13172454833985
89.65496826171875,99.58887329101563,48.20758056640625,99.69139404296875,78.03258666992187,56.875115966796876,46.01026916503906,100.48466186523437,62.475030517578126,101.10048217773438,6.959912109375,8.465287017822266,93.52474975585938,69.5672996520996
82.81280517578125,94.3335693359375,47.34688110351563,99.1044921875,86.21793212890626,56.6775146484375,46.43125915527344,107.98057861328125,64.98796997070312,96.92401733398438,7.203569030761718,9.00543212890625,100.77700958251953,77.2125
97.54677734375,109.01275634765625,50.09541015625,104.03604736328126,82.05610961914063,59.5538330078125,48.472528076171876,105.77393798828125,64.3893310546875,109.88453369140625,7.230805206298828,8.971807098388672,98.54313278198242,73.08430252075195
82.00256958007813,93.303515625,46.67384643554688,92.88028564453126,76.26852416992188,50.94334411621094,42.6670166015625,98.40361938476562,60.240728759765624,91.23106689453125,6.884664916992188,7.917826080322266,91.51895446777344,68.3506980895996
75.8003662109375,89.9784912109375,45.704464721679685,91.78073120117188,71.55467529296875,53.6132568359375,43.64421081542969,92.11580200195313,58.72352294921875,90.37689208984375,6.379608154296875,7.292047119140625,85.73619384765625,64.26262817382812
96.04060668945313,103.10794677734376,49.02845153808594,99.8456298828125,72.11561889648438,54.4275146484375,44.9400146484375,95.3137451171875,60.751129150390625,103.0626220703125,6.809390258789063,8.052392578125,88.50435485839844,64.06322631835937
90.05344848632812,100.75054321289062,48.4353515625,99.75592651367188,80.06808471679688,56.63197631835938,46.042572021484375,102.6509765625,62.830169677734375,101.27451782226562,7.104022979736328,8.620494079589843,95.54695358276368,71.44759063720703
98.30784301757812,110.64398193359375,50.76353149414062,106.22359619140624,83.43736572265625,60.4446044921875,49.09486083984375,106.85479736328125,64.54617919921876,110.99656982421875,7.266989898681641,9.171807098388673,99.5878074645996,74.26555862426758
80.15075073242187,90.3608642578125,46.25876159667969,95.71251831054687,88.50767822265625,53.036407470703125,45.74522705078125,110.47503662109375,66.10327758789063,92.998095703125,7.292460632324219,9.07193374633789,103.18257598876953,79.43574447631836
88.78969116210938,98.9667236328125,47.994161987304686,99.47817993164062,74.08026733398438,57.34150390625,46.101873779296874,96.05158081054688,61.320953369140625,100.86014404296876,6.661402893066406,8.062310791015625,89.39017791748047,66.01795654296875
78.86448364257812,90.2365966796875,46.1624755859375,94.39075927734375,80.440234375,54.59544677734375,44.63086853027344,102.0348876953125,62.88490600585938,93.623095703125,6.923126220703125,8.225785827636718,95.11176147460938,72.21444854736328
82.21806640625,94.211962890625,47.09674072265625,97.07352905273437,79.00709838867188,56.95848388671875,45.41212463378906,100.3493896484375,62.23081665039062,96.64686279296875,6.90808334350586,8.264240264892578,93.44130630493164,70.7428581237793
94.43435668945312,101.92932739257813,48.81138610839844,99.5390380859375,73.91873168945312,54.377008056640626,44.89641418457031,96.974169921875,61.155633544921876,101.87413940429687,6.890735626220703,8.196629333496094,90.0834342956543,65.72210235595703
89.57579956054687,101.3947509765625,48.73371276855469,103.37779541015625,81.76995849609375,61.03863525390625,48.14442443847656,103.2238037109375,64.2437255859375,102.86729736328125,6.9895988464355465,8.728653717041016,96.23420486450195,73.04130477905274
102.41341552734374,114.83902587890626,51.198910522460935,108.1418701171875,79.69432373046875,63.26094970703125,50.570046997070314,103.1477783203125,64.49194946289063,115.06890869140625,6.973653411865234,8.762286376953124,96.17412490844727,70.93203735351562
86.71203002929687,98.88464965820313,48.448953247070314,101.8344482421875,80.20335693359375,59.2540771484375,47.02989501953125,100.71185913085938,62.82883911132812,99.33731079101562,6.9282989501953125,8.513384246826172,93.78356018066407,71.68997268676758
85.66485595703125,97.42998046875,48.25697631835938,101.90703735351562,86.95065307617188,59.09581298828125,46.99307556152344,108.7488525390625,65.4269287109375,99.63294677734375,7.272787475585938,9.085885620117187,101.47606506347657,77.8647674560547
80.97069702148437,91.87042846679688,46.63294982910156,96.58892822265625,84.60882568359375,55.060455322265625,45.802755737304686,106.28040771484375,64.5235107421875,95.1325439453125,7.1362556457519535,8.792576599121094,99.1441520690918,75.81624908447266
83.32280883789062,94.87615966796875,47.01454467773438,96.08507080078125,75.3783447265625,55.005133056640624,44.8812744140625,97.08078002929688,60.82879638671875,95.86236572265625,6.714383697509765,8.024848175048827,90.36639633178712,67.35349655151367
103.1779052734375,115.6489013671875,51.35664672851563,108.7994140625,79.95272216796874,63.75906982421875,50.958489990234376,103.4224609375,64.748974609375,115.82950439453126,6.973084259033203,8.809295654296875,96.44937667846679,71.14342651367187
90.35856323242187,101.70222778320313,48.7123291015625,100.63717041015624,80.69087524414063,57.249993896484376,46.52112731933594,103.08310546875,62.9334228515625,102.13137817382812,7.119744873046875,8.704368591308594,95.96336059570312,71.98650665283203
79.616845703125,92.15448608398438,46.13218688964844,94.16520385742187,75.25919799804687,56.50050048828125,45.034017944335936,96.52144165039063,61.317529296875,94.94661865234374,6.634255218505859,7.716072845458984,89.88718643188477,67.54312515258789
