Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Inverted Triangle,Rectangle,Triangle
31.0,185.0,95.0,45.0,Rectangle,0.0,1.0,0.0
33.0,184.0,134.0,45.0,Triangle,0.0,0.0,1.0
41.0,190.0,90.0,44.0,Inverted Triangle,1.0,0.0,0.0
25.0,174.0,68.0,41.0,Triangle,0.0,0.0,1.0
34.0,181.0,78.0,42.0,Rectangle,0.0,1.0,0.0
19.0,187.0,80.0,46.0,Inverted Triangle,1.0,0.0,0.0
23.0,192.0,105.0,45.0,Triangle,0.0,0.0,1.0
41.0,175.0,75.0,42.0,Inverted Triangle,1.0,0.0,0.0
27.0,187.0,80.0,42.5,Rectangle,0.0,1.0,0.0
24.4,175.0,66.2,42.0,Rectangle,0.0,1.0,0.0
44.4,172.0,78.0,42.5,Triangle,0.0,0.0,1.0
41.0,172.0,71.0,42.0,Inverted Triangle,1.0,0.0,0.0
35.6,170.0,69.0,42.0,Inverted Triangle,1.0,0.0,0.0
55.0,200.0,105.0,49.0,Triangle,0.0,0.0,1.0
24.0,183.0,75.0,42.0,Triangle,0.0,0.0,1.0
