Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Inverted Triangle,Rectangle,Triangle
31.9,168.0,80.0,40.5,Triangle,0.0,0.0,1.0
23.0,183.0,61.0,43.0,Rectangle,0.0,1.0,0.0
27.0,183.0,74.0,41.0,Rectangle,0.0,1.0,0.0
38.0,186.0,76.0,41.5,Rectangle,0.0,1.0,0.0
50.0,187.0,78.0,44.0,Rectangle,0.0,1.0,0.0
25.5,180.0,85.0,43.0,Rectangle,0.0,1.0,0.0
32.6,173.0,80.0,43.0,Inverted Triangle,1.0,0.0,0.0
36.8,180.0,80.0,42.0,Triangle,0.0,0.0,1.0
36.5,186.0,82.0,42.0,Rectangle,0.0,1.0,0.0
22.0,184.0,70.0,44.0,Inverted Triangle,1.0,0.0,0.0
24.4,169.0,72.0,43.0,Inverted Triangle,1.0,0.0,0.0
57.8,181.0,85.0,43.0,Triangle,0.0,0.0,1.0
20.0,182.0,70.0,43.0,Rectangle,0.0,1.0,0.0
24.0,176.0,78.0,42.0,Rectangle,0.0,1.0,0.0
28.0,175.0,82.0,42.0,Rectangle,0.0,1.0,0.0
20.0,176.0,68.0,42.0,Inverted Triangle,1.0,0.0,0.0
25.9,169.0,66.0,41.0,Rectangle,0.0,1.0,0.0
29.0,183.0,71.0,42.0,Rectangle,0.0,1.0,0.0
44.0,176.0,70.0,41.0,Triangle,0.0,0.0,1.0
