Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Inverted Triangle,Rectangle,Triangle
31.0,172.0,67.0,39.0,Triangle,0.0,0.0,1.0
30.0,174.0,63.0,38.0,Triangle,0.0,0.0,1.0
51.9,168.0,60.0,38.0,Triangle,0.0,0.0,1.0
21.5,158.0,54.0,36.5,Triangle,0.0,0.0,1.0
24.4,160.0,47.0,36.0,Triangle,0.0,0.0,1.0
22.0,176.0,100.0,41.0,Triangle,0.0,0.0,1.0
20.2,158.0,58.0,38.0,Triangle,0.0,0.0,1.0
30.0,173.0,65.0,40.0,Triangle,0.0,0.0,1.0
57.0,168.0,78.0,38.0,Triangle,0.0,0.0,1.0
32.0,162.0,82.0,37.0,Triangle,0.0,0.0,1.0
47.0,164.0,67.0,39.0,Triangle,0.0,0.0,1.0
25.0,164.0,74.0,38.0,Triangle,0.0,0.0,1.0
20.5,168.0,63.0,41.5,Triangle,0.0,0.0,1.0
40.0,173.0,70.0,39.0,Triangle,0.0,0.0,1.0
40.0,176.0,75.0,41.0,Triangle,0.0,0.0,1.0
20.1,161.0,50.0,37.5,Triangle,0.0,0.0,1.0
43.0,160.0,55.0,38.0,Triangle,0.0,0.0,1.0
21.0,180.0,85.0,44.0,Triangle,0.0,0.0,1.0
32.0,175.0,90.0,40.0,Triangle,0.0,0.0,1.0
22.5,165.0,60.0,38.0,Triangle,0.0,0.0,1.0
38.0,164.0,81.0,38.0,Rectangle,0.0,1.0,0.0
63.0,172.0,113.0,41.0,Rectangle,0.0,1.0,0.0
49.0,170.0,88.0,39.0,Inverted Triangle,1.0,0.0,0.0
