"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),Weight (kg),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
795.0,930.0,453.0,908.0,851.0,489.0,444.0,1084.0,660.0,951.0,62.1,75.24,98.96
784.0,927.0,475.0,915.0,880.0,512.0,462.0,1043.0,653.0,1000.0,63.8,84.0,93.0
976.0,1032.0,515.0,1060.0,867.0,574.0,447.0,1072.0,655.0,1011.0,88.7,66.65,90.84
928.0,973.0,480.0,1074.0,848.0,634.0,475.0,1041.0,626.0,969.0,83.1,72.36,93.84
727.0,894.0,448.0,910.0,810.0,522.0,444.0,1009.0,616.0,947.0,62.4,72.0,72.0
928.0,1042.0,511.0,1021.0,847.0,568.0,492.0,1058.0,680.0,1041.0,81.0,76.7,85.54
766.0,923.0,460.0,966.0,768.0,565.0,466.0,980.0,620.0,970.0,65.3,66.0,87.0
773.0,892.0,444.0,967.0,796.0,550.0,438.0,1041.0,595.0,909.0,66.0,67.92,81.99
820.0,949.0,494.0,970.0,895.0,520.0,428.0,1137.0,660.0,926.0,68.9,78.32,84.6
679.0,822.0,452.0,886.0,805.0,470.0,430.0,1020.0,643.0,849.0,53.2,66.0,71.0
1000.0,1026.0,476.0,1049.0,818.0,598.0,488.0,1044.0,631.0,1063.0,85.5,72.69,85.52
811.0,922.0,464.0,942.0,753.0,532.0,439.0,944.0,618.0,946.0,65.0,76.0,86.0
1046.0,1058.0,518.0,1062.0,791.0,617.0,488.0,1029.0,627.0,1085.0,90.3,68.0,86.0
817.0,912.0,442.0,993.0,836.0,586.0,466.0,1022.0,617.0,943.0,69.0,72.77,91.86
891.0,981.0,452.0,1041.0,850.0,617.0,469.0,1057.0,615.0,984.0,78.9,72.93,86.81
858.0,960.0,491.0,998.0,918.0,564.0,482.0,1141.0,670.0,1025.0,81.5,75.15,92.95
933.0,1120.0,523.0,1040.0,809.0,636.0,510.0,1038.0,659.0,1134.0,93.2,78.0,90.0
917.0,1055.0,534.0,1020.0,885.0,599.0,453.0,1087.0,661.0,1129.0,92.6,75.26,87.91
943.0,1020.0,494.0,970.0,725.0,544.0,452.0,1010.0,630.0,1000.0,75.6,62.0,82.0
1263.0,1239.0,622.0,1184.0,931.0,758.0,519.0,1187.0,728.0,1209.0,141.0,92.77,107.67
910.0,948.0,488.0,942.0,880.0,527.0,441.0,1092.0,645.0,979.0,78.6,74.53,86.61
810.0,866.0,485.0,980.0,730.0,602.0,431.0,922.0,596.0,885.0,67.9,73.0,85.0
