Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,ratio,Inverted Triangle,Rectangle,Triangle
29.0,183.0,72.0,41.0,Triangle,1.1010830324909748,0.0,0.0,1.0
40.5,180.0,80.0,41.0,Inverted Triangle,1.2114485981308412,1.0,0.0,0.0
21.9,174.0,68.0,40.0,Rectangle,1.140947752126367,0.0,1.0,0.0
32.3,173.0,79.0,41.0,Inverted Triangle,1.1843891402714932,1.0,0.0,0.0
48.0,185.0,78.0,43.0,Rectangle,1.114025085518814,0.0,1.0,0.0
22.0,180.0,60.0,42.0,Inverted Triangle,1.2489019033674964,1.0,0.0,0.0
19.5,177.0,68.0,41.0,Inverted Triangle,1.230263157894737,1.0,0.0,0.0
62.0,181.0,70.0,42.0,Triangle,1.0079545454545455,0.0,0.0,1.0
64.0,170.0,55.0,41.0,Rectangle,1.158831003811944,0.0,1.0,0.0
22.4,180.0,69.0,39.5,Inverted Triangle,1.2131578947368422,1.0,0.0,0.0
45.0,181.0,110.0,45.0,Rectangle,1.1397423191278493,0.0,1.0,0.0
40.0,203.0,80.0,47.5,Triangle,0.9989517819706499,0.0,0.0,1.0
58.0,182.0,103.0,44.0,Triangle,0.9822335025380711,0.0,0.0,1.0
30.3,175.0,72.0,42.0,Rectangle,1.156019656019656,0.0,1.0,0.0
51.0,165.0,93.0,42.0,Triangle,1.0137254901960784,0.0,0.0,1.0
31.0,188.0,72.0,44.0,Inverted Triangle,1.2329113924050632,1.0,0.0,0.0
21.0,174.0,72.0,42.0,Inverted Triangle,1.170316301703163,1.0,0.0,0.0
48.0,183.0,72.0,43.0,Rectangle,1.1233842538190364,0.0,1.0,0.0
20.0,190.0,86.0,46.0,Triangle,1.078918918918919,0.0,0.0,1.0
35.0,175.0,70.0,43.0,Rectangle,1.1538461538461537,0.0,1.0,0.0
57.0,167.0,69.0,41.0,Triangle,1.0372670807453417,0.0,0.0,1.0
36.8,180.0,80.0,42.0,Triangle,1.0898876404494382,0.0,0.0,1.0
29.4,173.0,85.0,43.0,Rectangle,1.1448202959830867,0.0,1.0,0.0
19.0,185.0,68.0,43.0,Inverted Triangle,1.3093622795115332,1.0,0.0,0.0
20.0,171.0,80.0,43.0,Triangle,1.1099020674646354,0.0,0.0,1.0
25.1,169.0,77.0,41.0,Triangle,1.039003250270856,0.0,0.0,1.0
49.0,184.0,95.0,43.0,Rectangle,1.118811881188119,0.0,1.0,0.0
18.6,165.0,55.0,41.5,Rectangle,1.1395061728395062,0.0,1.0,0.0
29.0,181.0,75.0,42.0,Rectangle,1.1130247578040904,0.0,1.0,0.0
20.0,195.0,86.0,46.0,Inverted Triangle,1.1830663615560641,1.0,0.0,0.0
23.8,175.0,85.0,43.0,Inverted Triangle,1.1888111888111887,1.0,0.0,0.0
25.0,174.0,68.0,41.0,Triangle,1.0875299760191846,0.0,0.0,1.0
37.0,172.5,59.0,39.0,Rectangle,1.126547455295736,0.0,1.0,0.0
25.0,182.0,65.0,41.5,Inverted Triangle,1.1845764854614411,1.0,0.0,0.0
57.0,182.0,84.0,43.0,Triangle,1.0984126984126985,0.0,0.0,1.0
36.0,190.0,90.0,44.0,Rectangle,1.1240560949298812,0.0,1.0,0.0
43.0,185.0,85.0,43.0,Rectangle,1.111231101511879,0.0,1.0,0.0
51.0,190.0,130.0,47.0,Triangle,0.9937007874015747,0.0,0.0,1.0
51.0,186.0,95.0,45.0,Triangle,1.084372003835091,0.0,0.0,1.0
28.0,168.0,61.0,40.0,Inverted Triangle,1.2296195652173914,1.0,0.0,0.0
46.0,180.0,75.0,42.0,Rectangle,1.139344262295082,0.0,1.0,0.0
50.0,171.0,68.0,41.0,Inverted Triangle,1.1975308641975309,1.0,0.0,0.0
38.0,186.0,76.0,41.5,Inverted Triangle,1.1777251184834123,1.0,0.0,0.0
25.0,175.0,67.0,43.5,Rectangle,1.1686746987951808,0.0,1.0,0.0
32.0,186.0,75.0,45.0,Triangle,1.100238663484487,0.0,0.0,1.0
54.0,173.0,80.0,42.0,Triangle,1.0827886710239651,0.0,0.0,1.0
23.1,172.0,60.0,42.0,Triangle,1.1056701030927836,0.0,0.0,1.0
43.6,170.0,73.0,43.0,Triangle,1.0556149732620321,0.0,0.0,1.0
37.0,186.0,84.0,44.0,Rectangle,1.130712008501594,0.0,1.0,0.0
38.0,187.0,104.0,44.0,Triangle,1.10622009569378,0.0,0.0,1.0
19.3,168.0,75.0,43.0,Triangle,1.1003420752565565,0.0,0.0,1.0
62.0,179.0,80.0,42.0,Triangle,1.0904255319148937,0.0,0.0,1.0
43.0,178.0,70.0,43.0,Rectangle,1.114025085518814,0.0,1.0,0.0
20.0,184.0,88.0,44.0,Inverted Triangle,1.241860465116279,1.0,0.0,0.0
18.9,185.0,68.0,43.0,Triangle,1.107540173053152,0.0,0.0,1.0
32.4,172.0,73.0,41.0,Rectangle,1.1650602409638555,0.0,1.0,0.0
65.0,178.0,75.0,43.0,Rectangle,1.1396103896103895,0.0,1.0,0.0
34.0,181.0,78.0,42.0,Inverted Triangle,1.1849865951742626,1.0,0.0,0.0
41.7,172.0,77.0,41.5,Triangle,1.087513340448239,0.0,0.0,1.0
55.8,175.0,70.0,42.5,Inverted Triangle,1.2848101265822784,1.0,0.0,0.0
36.0,172.0,102.0,40.0,Triangle,1.068334937439846,0.0,0.0,1.0
37.8,177.0,66.0,42.5,Rectangle,1.1477832512315271,0.0,1.0,0.0
47.0,195.0,94.0,43.0,Rectangle,1.1512875536480687,0.0,1.0,0.0
18.0,186.0,69.0,46.0,Rectangle,1.151291512915129,0.0,1.0,0.0
56.0,162.0,95.0,40.0,Triangle,1.0764818355640535,0.0,0.0,1.0
35.2,178.0,82.0,40.5,Rectangle,1.1123110151187905,0.0,1.0,0.0
20.0,181.0,82.0,43.0,Inverted Triangle,1.256188118811881,1.0,0.0,0.0
38.0,185.0,75.0,42.0,Rectangle,1.1258503401360545,0.0,1.0,0.0
30.0,182.0,85.0,42.5,Rectangle,1.1260504201680672,0.0,1.0,0.0
25.4,170.0,69.0,41.0,Inverted Triangle,1.227450980392157,1.0,0.0,0.0
55.0,171.0,79.0,41.0,Triangle,1.0731707317073171,0.0,0.0,1.0
19.0,180.0,65.0,43.0,Rectangle,1.113031914893617,0.0,1.0,0.0
29.9,176.0,71.0,42.0,Rectangle,1.128992628992629,0.0,1.0,0.0
50.0,173.0,90.0,43.0,Triangle,1.0683918669131238,0.0,0.0,1.0
65.0,170.0,55.0,41.0,Rectangle,1.1444291609353507,0.0,1.0,0.0
19.1,175.0,68.0,41.0,Inverted Triangle,1.2251908396946565,1.0,0.0,0.0
24.0,196.0,73.0,46.0,Inverted Triangle,1.1979949874686717,1.0,0.0,0.0
29.9,165.0,69.0,40.5,Inverted Triangle,1.1861271676300578,1.0,0.0,0.0
30.8,175.0,68.0,42.0,Triangle,1.090069284064665,0.0,0.0,1.0
21.0,192.0,84.0,44.0,Rectangle,1.1595982142857142,0.0,1.0,0.0
38.0,188.0,105.0,46.0,Triangle,1.0797373358348967,0.0,0.0,1.0
24.0,183.0,83.0,42.0,Triangle,1.0548245614035088,0.0,0.0,1.0
61.0,184.0,82.0,43.0,Triangle,1.0922431865828093,0.0,0.0,1.0
40.7,168.0,72.0,42.0,Inverted Triangle,1.2401960784313726,1.0,0.0,0.0
19.2,172.0,62.0,42.0,Inverted Triangle,1.1994609164420484,1.0,0.0,0.0
29.0,185.0,70.0,42.0,Rectangle,1.148989898989899,0.0,1.0,0.0
27.0,174.0,70.0,41.0,Inverted Triangle,1.221227621483376,1.0,0.0,0.0
40.0,174.0,76.0,43.0,Triangle,1.0841530054644808,0.0,0.0,1.0
21.0,185.0,87.0,45.5,Triangle,1.057591623036649,0.0,0.0,1.0
32.0,195.0,80.0,45.0,Triangle,1.0481283422459893,0.0,0.0,1.0
48.0,185.0,90.0,43.0,Triangle,0.9752851711026616,0.0,0.0,1.0
61.0,184.0,85.0,45.0,Triangle,1.0642105263157895,0.0,0.0,1.0
20.9,185.0,85.0,43.5,Rectangle,1.113561190738699,0.0,1.0,0.0
24.0,180.0,66.0,43.0,Triangle,1.025287356321839,0.0,0.0,1.0
18.0,180.0,70.0,42.0,Rectangle,1.147459727385378,0.0,1.0,0.0
33.0,180.0,88.0,42.0,Triangle,1.0391752577319588,0.0,0.0,1.0
51.1,170.0,66.0,41.0,Rectangle,1.1389221556886227,0.0,1.0,0.0
18.4,175.0,70.0,42.0,Inverted Triangle,1.2195431472081217,1.0,0.0,0.0
24.4,172.0,68.0,43.0,Rectangle,1.151552795031056,0.0,1.0,0.0
43.8,173.0,77.0,42.0,Rectangle,1.1286681715575622,0.0,1.0,0.0
63.0,182.0,75.0,43.0,Triangle,1.0312837108953614,0.0,0.0,1.0
54.0,178.0,99.0,42.0,Rectangle,1.1178903826266804,0.0,1.0,0.0
53.7,177.0,87.0,43.0,Rectangle,1.11284046692607,0.0,1.0,0.0
30.0,192.0,94.0,45.0,Triangle,1.0193986420950534,0.0,0.0,1.0
21.1,175.0,71.0,42.0,Rectangle,1.1428571428571428,0.0,1.0,0.0
46.0,173.0,75.0,41.0,Triangle,1.1007502679528403,0.0,0.0,1.0
26.9,180.0,70.0,42.0,Inverted Triangle,1.2356770833333333,1.0,0.0,0.0
56.0,189.0,81.0,44.0,Rectangle,1.1233333333333333,0.0,1.0,0.0
19.6,178.0,72.0,42.0,Rectangle,1.154320987654321,0.0,1.0,0.0
36.0,197.0,105.0,46.0,Triangle,1.052820053715309,0.0,0.0,1.0
20.0,173.0,73.0,41.5,Rectangle,1.1623616236162362,0.0,1.0,0.0
30.5,172.0,72.0,41.0,Inverted Triangle,1.1707021791767553,1.0,0.0,0.0
24.0,180.0,85.0,41.0,Inverted Triangle,1.2138660399529966,1.0,0.0,0.0
20.5,166.0,47.0,41.0,Triangle,1.0530503978779842,0.0,0.0,1.0
33.0,179.0,77.0,42.0,Triangle,1.1043771043771045,0.0,0.0,1.0
26.9,175.0,71.0,41.5,Inverted Triangle,1.187648456057007,1.0,0.0,0.0
25.8,178.0,74.0,41.0,Rectangle,1.1430260047281324,0.0,1.0,0.0
50.0,183.0,83.0,43.0,Triangle,1.0667384284176533,0.0,0.0,1.0
46.9,175.0,78.0,41.0,Inverted Triangle,1.2734839476813318,1.0,0.0,0.0
22.7,175.0,58.0,43.0,Triangle,1.0990752972258917,0.0,0.0,1.0
49.0,196.0,125.0,47.0,Triangle,0.8414376321353065,0.0,0.0,1.0
19.8,176.0,76.0,43.0,Rectangle,1.1241457858769932,0.0,1.0,0.0
56.4,162.0,62.0,42.0,Inverted Triangle,1.1883691529709228,1.0,0.0,0.0
22.0,178.0,82.0,45.0,Inverted Triangle,1.2223618090452262,1.0,0.0,0.0
39.5,174.0,94.0,42.0,Inverted Triangle,1.202755905511811,1.0,0.0,0.0
23.0,185.0,85.0,45.0,Triangle,1.0881720430107527,0.0,0.0,1.0
50.0,179.0,80.0,40.0,Rectangle,1.158361018826135,0.0,1.0,0.0
27.0,185.0,93.0,43.0,Inverted Triangle,1.1721491228070176,1.0,0.0,0.0
21.9,172.0,57.0,42.0,Triangle,1.1012658227848102,0.0,0.0,1.0
50.0,172.0,98.0,43.0,Triangle,1.0886699507389161,0.0,0.0,1.0
32.0,191.0,88.0,43.0,Rectangle,1.1155419222903886,0.0,1.0,0.0
19.0,183.0,84.0,44.0,Rectangle,1.1171270718232045,0.0,1.0,0.0
65.0,191.0,96.0,44.0,Triangle,0.9924385633270322,0.0,0.0,1.0
24.4,169.0,72.0,43.0,Inverted Triangle,1.2463414634146341,1.0,0.0,0.0
28.0,186.0,130.0,45.0,Triangle,1.083720930232558,0.0,0.0,1.0
33.0,176.0,70.0,42.0,Rectangle,1.1305882352941177,0.0,1.0,0.0
24.4,171.0,85.0,43.0,Triangle,1.0626262626262626,0.0,0.0,1.0
56.0,181.0,82.0,45.0,Triangle,1.06,0.0,0.0,1.0
53.0,183.0,70.0,43.0,Inverted Triangle,1.1713554987212276,1.0,0.0,0.0
19.0,196.0,87.0,46.0,Inverted Triangle,1.1919905771495878,1.0,0.0,0.0
