Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,ratio,Inverted Triangle,Rectangle,Triangle
48.0,188.0,93.0,44.0,Triangle,1.1080246913580247,0.0,0.0,1.0
48.0,180.0,110.0,42.0,Triangle,0.9656040268456376,0.0,0.0,1.0
27.0,178.0,74.0,43.0,Rectangle,1.1658653846153846,0.0,1.0,0.0
40.0,203.0,115.0,46.0,Triangle,1.108803165182987,0.0,0.0,1.0
26.3,182.0,83.0,42.5,Inverted Triangle,1.311960542540074,1.0,0.0,0.0
46.2,175.0,68.0,42.5,Inverted Triangle,1.176761433868974,1.0,0.0,0.0
36.5,186.0,82.0,42.0,Inverted Triangle,1.1891891891891893,1.0,0.0,0.0
35.3,172.0,77.0,41.0,Triangle,1.09954233409611,0.0,0.0,1.0
51.0,195.0,90.0,45.0,Triangle,1.0417910447761194,0.0,0.0,1.0
43.0,185.0,69.0,44.0,Triangle,1.08584686774942,0.0,0.0,1.0
36.0,187.0,135.0,46.0,Triangle,1.097581317764804,0.0,0.0,1.0
19.8,168.0,56.0,42.0,Inverted Triangle,1.2466307277628033,1.0,0.0,0.0
20.0,175.0,60.0,42.0,Rectangle,1.1494252873563218,0.0,1.0,0.0
25.0,178.0,62.0,42.0,Rectangle,1.14238042269188,0.0,1.0,0.0
24.0,181.0,74.0,43.0,Triangle,1.1090047393364928,0.0,0.0,1.0
39.0,168.0,67.0,42.0,Triangle,1.0218818380743981,0.0,0.0,1.0
62.0,163.0,68.0,41.0,Triangle,1.0904079382579934,0.0,0.0,1.0
30.6,173.0,70.0,41.0,Inverted Triangle,1.1965811965811965,1.0,0.0,0.0
19.0,183.0,75.0,42.0,Inverted Triangle,1.171604938271605,1.0,0.0,0.0
18.5,178.0,67.0,42.0,Inverted Triangle,1.1776315789473684,1.0,0.0,0.0
37.0,188.0,100.0,45.0,Triangle,1.0855721393034825,0.0,0.0,1.0
24.0,176.0,78.0,42.0,Inverted Triangle,1.18997668997669,1.0,0.0,0.0
32.0,184.0,100.0,45.0,Inverted Triangle,1.312572087658593,1.0,0.0,0.0
29.0,193.0,77.0,45.0,Inverted Triangle,1.3400537634408602,1.0,0.0,0.0
18.0,190.0,75.0,44.5,Rectangle,1.1666666666666667,0.0,1.0,0.0
57.0,181.0,70.0,43.0,Triangle,1.0479666319082377,0.0,0.0,1.0
46.0,198.0,100.0,46.0,Triangle,1.087790110998991,0.0,0.0,1.0
42.7,173.0,75.0,43.0,Rectangle,1.1428571428571428,0.0,1.0,0.0
18.8,165.0,63.0,40.5,Inverted Triangle,1.2340136054421769,1.0,0.0,0.0
33.0,190.0,85.0,45.0,Inverted Triangle,1.2425968109339407,1.0,0.0,0.0
36.7,174.0,75.0,39.0,Triangle,1.0954545454545455,0.0,0.0,1.0
30.0,185.0,78.0,43.0,Rectangle,1.1573849878934626,0.0,1.0,0.0
26.0,173.0,70.0,42.0,Inverted Triangle,1.2106567534076829,1.0,0.0,0.0
18.9,175.0,60.0,41.0,Triangle,1.1055900621118013,0.0,0.0,1.0
39.0,198.0,104.0,47.0,Triangle,1.0537313432835822,0.0,0.0,1.0
20.0,178.0,78.0,43.0,Rectangle,1.1244186046511628,0.0,1.0,0.0
20.8,176.0,78.0,43.5,Rectangle,1.152793614595211,0.0,1.0,0.0
21.7,180.0,85.0,42.5,Triangle,1.094240837696335,0.0,0.0,1.0
23.4,182.0,71.0,42.0,Inverted Triangle,1.2320777642770353,1.0,0.0,0.0
38.1,185.0,86.0,43.0,Inverted Triangle,1.1950394588500564,1.0,0.0,0.0
33.9,179.0,75.0,42.0,Inverted Triangle,1.2082294264339153,1.0,0.0,0.0
19.0,187.0,80.0,46.0,Inverted Triangle,1.2246642246642248,1.0,0.0,0.0
20.0,177.0,90.0,43.5,Rectangle,1.1424116424116424,0.0,1.0,0.0
30.9,177.0,87.0,43.0,Inverted Triangle,1.2145214521452146,1.0,0.0,0.0
20.0,178.0,69.0,42.0,Inverted Triangle,1.201995012468828,1.0,0.0,0.0
31.2,180.0,72.0,43.0,Inverted Triangle,1.2086614173228347,1.0,0.0,0.0
19.0,195.0,85.0,46.0,Triangle,1.0912951167728238,0.0,0.0,1.0
48.0,176.0,85.0,42.0,Triangle,1.088740458015267,0.0,0.0,1.0
56.0,192.0,100.0,48.0,Rectangle,1.1227887617065557,0.0,1.0,0.0
33.0,186.0,73.0,43.0,Inverted Triangle,1.22625,1.0,0.0,0.0
19.0,185.0,70.0,44.0,Triangle,1.0838926174496644,0.0,0.0,1.0
32.6,173.0,80.0,43.0,Inverted Triangle,1.2554824561403508,1.0,0.0,0.0
27.0,183.0,74.0,41.0,Inverted Triangle,1.171358629130967,1.0,0.0,0.0
35.2,169.0,79.0,42.0,Triangle,1.0686695278969958,0.0,0.0,1.0
23.0,196.0,102.7,46.0,Triangle,1.0810536980749748,0.0,0.0,1.0
21.0,179.0,68.0,41.0,Rectangle,1.114002478314746,0.0,1.0,0.0
52.0,175.0,85.0,43.0,Rectangle,1.1291005291005292,0.0,1.0,0.0
43.0,196.0,100.0,48.0,Triangle,1.0086872586872586,0.0,0.0,1.0
24.1,173.0,67.0,42.0,Inverted Triangle,1.2025316455696202,1.0,0.0,0.0
47.0,178.0,71.0,43.0,Rectangle,1.1565113500597373,0.0,1.0,0.0
20.4,174.0,71.0,42.0,Inverted Triangle,1.1749049429657794,1.0,0.0,0.0
60.3,150.0,59.0,38.0,Rectangle,1.1116504854368932,0.0,1.0,0.0
