Subject Number,NL Subject,Acromial Ht Stand Lt (mm),Acromial Ht Stand Rt (mm),Acromion-Radiale Len Lt (mm),Acromion-Radiale Len Rt (mm),"Ankle Ht Lt (Malleolus, Lateral) (mm)","Ankle Ht Rt (Malleolus, Lateral) (mm)",Arm Inseam Lt (mm),Arm Inseam Rt (mm),Axilla Ht Lt (mm),Axilla Ht Rt (mm),Biacromial Brth (mm),Bicristale Brth (mm),Bigonial Brth (mm),Bispinous Brth (mm),Bitragion Brth (mm),Bitrochanteric Brth Stand (mm),Bustpoint Brth (mm),Cervicale Ht (mm),Chest Ht Stand (mm),Elbow Ht Stand Lt (mm),Elbow Ht Stand Rt (mm),Foot Brth Lt (mm),Foot Brth Rt (mm),Infraorbitale Ht Lt Stand (mm),Infraorbitale Ht Rt Stand (mm),Inter-pupillary Dst (mm),Interscye Dst Stand (mm),Knee Ht Stand Lt (mm),Knee Ht Stand Rt (mm),Malleolus Med Lt (mm),Malleolus Med Rt (mm),Neck Ht (mm),Radiale-Stylion Len Lt (mm),Radiale-Stylion Len Rt (mm),Sellion Supramenton (mm),Sleeve Outseam Len Lt (mm),Sleeve Outseam Len Rt (mm),Sphyrion Ht Lt (mm),Sphyrion Ht Rt (mm),Suprasternale Ht (mm),Trochanterion Ht Lt (mm),Trochanterion Ht Rt (mm),Waist Back (mm)
15857,5857,1563.26,1564.99,328.88,351.43,74.96,74.58,492.03,485.50,1447.19,1444.78,459.57,347.60,137.57,246.82,167.65,378.15,251.06,1619.68,1396.42,1221.31,1227.76,97.68,108.17,1758.17,1761.63,72.08,397.06,525.48,518.46,93.17,93.22,153.63,278.00,265.66,97.25,605.82,607.31,70.95,70.98,1546.91,915.81,902.06,471.50
15858,5858,1345.90,1333.72,304.97,314.49,57.99,66.28,444.36,444.85,1258.14,1247.51,398.13,346.59,129.57,330.91,148.65,373.18,239.02,1397.37,1188.34,1055.94,1037.65,74.17,88.09,1489.60,1489.89,60.20,400.57,454.12,450.64,75.24,78.81,96.86,207.20,213.46,100.23,539.19,526.05,53.78,55.57,1333.53,822.50,814.77,396.18
15859,5859,1460.91,1479.00,337.26,377.09,76.85,71.69,483.51,495.44,1345.94,1358.66,383.02,391.05,130.96,278.28,158.66,382.74,260.82,1527.33,1266.72,1138.37,1142.13,104.06,115.16,1589.72,1592.14,67.74,430.29,522.91,518.41,90.92,98.35,92.37,268.01,262.71,103.74,605.84,637.86,65.67,72.49,1424.97,942.42,922.67,500.13
15862,5862,1631.89,1629.98,374.63,377.25,65.65,82.08,473.36,495.26,1486.48,1482.31,405.64,377.18,127.63,276.99,160.78,383.08,231.08,1713.91,1451.93,1267.54,1267.75,,108.86,1853.76,1853.90,68.51,426.17,577.75,560.42,101.29,96.85,118.36,255.31,287.54,107.97,633.30,639.16,67.44,69.91,1649.43,1056.73,1056.58,552.24
15867,5867,1548.02,1531.89,333.47,337.56,74.90,79.17,406.76,418.98,1389.32,1376.65,446.90,411.62,150.66,,162.78,395.70,295.37,1593.20,1306.21,1227.21,1187.69,107.30,130.94,1709.13,1704.85,82.22,474.62,505.44,512.37,81.25,92.30,151.57,235.86,258.16,102.50,574.60,576.70,60.48,71.52,1498.67,896.90,916.54,580.28
15873,5873,1678.69,1681.85,364.84,375.41,85.43,78.66,471.61,486.49,1523.18,1525.34,431.79,376.65,130.01,293.23,163.02,411.50,254.90,1711.89,1467.86,1309.44,1320.40,114.86,115.30,1869.83,1873.25,79.72,457.22,558.39,558.40,94.58,102.58,128.85,289.10,299.25,114.47,635.09,648.62,68.62,84.09,1616.98,1015.36,1040.81,537.17
15874,5874,1521.52,1503.47,344.48,352.92,65.43,78.32,472.65,486.47,1395.90,1391.27,375.39,284.28,120.52,256.03,152.92,352.29,228.83,1549.58,1361.93,1185.08,1172.68,88.52,96.36,1694.25,1691.16,70.02,372.61,527.64,534.63,86.83,84.60,104.56,266.61,259.98,98.02,604.34,610.69,62.61,70.75,1486.43,1013.89,1023.39,457.29
15875,5875,1448.58,1450.41,343.38,358.50,70.16,64.02,443.25,451.56,1314.57,1311.58,410.25,351.85,114.28,259.11,160.49,379.87,212.00,1498.34,1235.20,1118.37,1138.85,109.46,111.78,1614.97,1616.26,70.94,413.82,479.95,479.96,83.29,84.17,121.31,254.66,253.95,100.92,600.11,612.92,65.93,59.92,1408.45,901.41,926.15,451.80
15882,5882,1395.66,1389.44,312.89,308.67,57.09,65.55,460.61,448.47,1305.27,1304.88,392.40,304.63,115.65,276.10,157.34,376.10,174.49,1446.30,1232.75,1106.00,1093.68,95.40,98.22,1587.78,1589.61,62.60,400.79,458.96,472.85,84.10,88.46,107.58,242.04,250.40,97.77,553.35,553.06,64.38,74.60,1399.12,926.68,915.60,393.72
15883,5883,1393.69,1376.97,300.56,303.21,78.33,69.69,442.73,446.59,1298.30,1294.00,399.14,312.16,129.74,270.56,153.73,341.72,196.11,1438.82,1236.44,1106.87,1103.54,96.27,97.17,1583.81,1579.41,73.03,418.61,472.38,472.38,94.27,102.19,118.46,232.67,233.64,97.14,539.81,531.17,76.94,77.94,1375.07,839.35,842.25,433.49
