Subject Number,NL Subject,Gender,"Acromial Height, Sitting (mm)",Ankle Circumference (mm),Spine-to-Shoulder (mm),Spine-to-Elbow (mm),Arm Length (Spine to Wrist) (mm),Arm Length (Shoulder to Wrist) (mm),Arm Length (Shoulder to Elbow) (mm),Armscye Circumference (Scye Circ Over Acromion) (mm),Bizygomatic Breadth (mm),Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Buttock-Knee Length (mm),Chest Girth (Chest Circumference at Scye) (mm),Crotch Height (mm),"Elbow Height, Sitting (mm)","Eye Height, Sitting (mm)",Face Length (mm),Foot Length (mm),Hand Circumference (mm),Hand Length (mm),Head Breadth (mm),Head Circumference (mm),Head Length (mm),"Hip Breadth, Sitting (mm)","Hip Circumference, Maximum (mm)",Hip Circ Max Height (mm),Knee Height (mm),Neck Base Circumference (mm),Shoulder Breadth (mm),Sitting Height (mm),Stature (mm),Subscapular Skinfold (mm),Thigh Circumference (mm),Thigh Circumference Max Sitting (mm),Thumb Tip Reach (mm),TTR 1 (mm),TTR 2 (mm),TTR 3 (mm),Triceps Skinfold (mm),Total Crotch Length (Crotch Length) (mm),Vertical Trunk Circumference (mm),"Waist Circumference, Pref (mm)",Waist Front Length (mm),"Waist Height, Preferred (mm)",Weight (kg)
16688,6688,Female,605.00,252.00,185.00,515.00,788.00,603.00,330.00,404.00,126.00,950.00,801.00,611.00,908.00,817.00,259.00,771.00,109.00,254.00,194.00,203.00,139.00,526.00,185.00,408.00,1012.00,849.00,513.00,410.00,437.00,893.00,1710.00,13.60,584.00,595.00,765.67,773.00,761.00,763.00,14.40,635.00,1596.00,848.00,388.00,1040.00,66.00
16690,6690,Female,618.00,243.00,212.00,557.00,813.00,601.00,345.00,408.00,143.00,963.00,855.00,620.00,927.00,818.00,267.00,804.00,112.00,242.00,201.00,185.00,155.00,574.00,202.00,435.00,1099.00,819.00,534.00,488.00,464.00,922.00,1729.00,9.60,645.00,639.00,750.33,749.00,752.00,750.00,18.20,637.00,1687.00,922.00,428.00,1009.00,73.00
16692,6692,Female,616.00,235.00,182.00,516.00,772.00,590.00,334.00,375.00,132.00,932.00,791.00,601.00,899.00,820.00,273.00,799.00,113.00,239.00,188.00,185.00,149.00,565.00,201.00,392.00,1001.00,810.00,520.00,410.00,427.00,934.00,1750.00,9.00,563.00,560.00,757.67,751.00,761.00,761.00,10.60,651.00,1629.00,726.00,387.00,1062.00,65.00
16693,6693,Male,647.00,255.00,212.00,590.00,891.00,679.00,378.00,418.00,140.00,882.00,,627.00,913.00,866.00,249.00,818.00,115.00,270.00,222.00,203.00,156.00,572.00,193.00,364.00,969.00,903.00,565.00,486.00,462.00,942.00,1808.00,9.40,520.00,532.00,815.67,811.00,816.00,820.00,5.00,655.00,1640.00,764.00,427.00,1108.00,68.90
16694,6694,Female,532.00,244.00,190.00,500.00,745.00,555.00,310.00,390.00,132.00,1013.00,767.00,612.00,908.00,735.00,189.00,718.00,119.00,239.00,186.00,182.00,140.00,543.00,187.00,459.00,1168.00,768.00,483.00,410.00,438.00,818.00,1579.00,15.60,662.00,705.00,747.00,753.00,737.00,751.00,17.00,664.00,1568.00,842.00,390.00,966.00,73.00
16695,6695,Male,568.00,252.00,190.00,520.00,812.00,622.00,330.00,371.00,134.00,863.00,,591.00,910.00,815.00,202.00,764.00,117.00,264.00,197.00,201.00,142.00,565.00,201.00,333.00,913.00,844.00,521.00,452.00,444.00,893.00,1696.00,7.80,529.00,511.00,795.00,788.00,802.00,795.00,10.20,630.00,1620.00,802.00,389.00,1019.00,59.00
16697,6697,Female,616.00,232.00,200.00,513.00,770.00,570.00,313.00,384.00,137.00,905.00,757.00,595.00,862.00,,293.00,778.00,117.00,243.00,194.00,184.00,152.00,553.00,185.00,361.00,957.00,807.00,502.00,450.00,405.00,886.00,1692.00,7.20,506.00,525.00,724.00,721.00,728.00,723.00,7.20,667.00,1566.00,672.00,340.00,1050.00,56.00
16698,6698,Female,576.00,250.00,191.00,522.00,785.00,594.00,331.00,381.00,134.00,898.00,772.00,628.00,855.00,828.00,216.00,778.00,120.00,254.00,212.00,199.00,150.00,557.00,193.00,392.00,1003.00,846.00,530.00,422.00,410.00,884.00,1717.00,15.80,573.00,583.00,790.67,795.00,783.00,794.00,17.40,686.00,1544.00,716.00,335.00,1082.00,63.50
16699,6699,Female,625.00,247.00,192.00,556.00,822.00,630.00,364.00,385.00,135.00,899.00,786.00,641.00,889.00,874.00,242.00,802.00,116.00,254.00,190.00,192.00,141.00,561.00,197.00,386.00,1007.00,904.00,550.00,436.00,450.00,941.00,1810.00,10.40,563.00,582.00,770.33,755.00,766.00,790.00,12.40,634.00,1595.00,780.00,396.00,1104.00,63.30
16700,6700,Female,658.00,249.00,190.00,550.00,807.00,617.00,360.00,394.00,136.00,942.00,777.00,620.00,910.00,826.00,294.00,840.00,112.00,242.00,182.00,181.00,147.00,551.00,182.00,444.00,1124.00,866.00,540.00,440.00,454.00,951.00,1775.00,12.20,602.00,625.00,739.33,733.00,748.00,737.00,16.00,714.00,1684.00,769.00,384.00,1104.00,72.00
