Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,ratio,Inverted Triangle,Rectangle,Triangle,Weight (kg)
21.5,180,70,43,Triangle,1.09512761,0,0,1,70
29,170,64,41.5,Rectangle,1.163682864,0,1,0,64.1
44.2,168,60,40.5,Rectangle,1.116104869,0,1,0,62.1
19,185,65,44,Inverted Triangle,1.189226519,1,0,0,61.4
18.3,160,54,41,Inverted Triangle,1.213276836,1,0,0,50.8
59,176,80,42,Rectangle,1.150655022,0,1,0,82.9
50,200,98,47,Triangle,1.034782609,0,0,1,99.6
24.4,169,72,43,Inverted Triangle,1.246341463,1,0,0,72.1
33.8,175,71,42,Rectangle,1.120958084,0,1,0,70.1
26.3,187,68,43,Rectangle,1.163424125,0,1,0,68.7
21,197,95,46,Triangle,1.078812692,0,0,1,93.6
56,187,82,44,Rectangle,1.133182844,0,1,0,82.7
30.5,172,72,41,Inverted Triangle,1.170702179,1,0,0,71.5
49.7,175,91,42,Triangle,1.037284895,0,0,1,90.3
35,185,72,43.5,Triangle,1.0591133,0,0,1,69.6
48,183,79,43,Rectangle,1.121767241,0,1,0,81
18.8,175,72,42.5,Inverted Triangle,1.236872812,1,0,0,76
47,176,86,42.5,Triangle,1.105759162,0,0,1,88.8
59,178,80,45,Rectangle,1.128854626,0,1,0,79.5
25,170,55,40,Triangle,1.105898123,0,0,1,53.6
52.5,168,82,40,Triangle,1.052631579,0,0,1,80.6
24,183,90,43,Rectangle,1.128151261,0,1,0,91.9
19.8,168,56,42,Inverted Triangle,1.246630728,1,0,0,57.7
40,186,120,46,Rectangle,1.128942486,0,1,0,122.1
26,200,92,47,Inverted Triangle,1.215189873,1,0,0,90
46.7,175,72,43,Triangle,1.097862767,0,0,1,75.3
31.9,168,80,40.5,Triangle,1.088172043,0,0,1,81.4
20,173,73,41.5,Rectangle,1.162361624,0,1,0,72.3
27,183,74,41,Inverted Triangle,1.171358629,1,0,0,73.5
38,186,76,41.5,Inverted Triangle,1.177725118,1,0,0,76
38,190,65,46,Rectangle,1.124378109,0,1,0,64.4
26.9,180,70,42,Inverted Triangle,1.235677083,1,0,0,64.5
32.6,173,80,43,Inverted Triangle,1.255482456,1,0,0,80.9
36.8,180,80,42,Triangle,1.08988764,0,0,1,79.6
55,167,105,43,Triangle,1.038596491,0,0,1,106.9
25.9,176,65,41.5,Inverted Triangle,1.268260292,1,0,0,65.1
20,184,88,44,Inverted Triangle,1.241860465,1,0,0,85
40.5,180,80,41,Inverted Triangle,1.211448598,1,0,0,77.6
