"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
1082.0,1177.0,567.0,1122.0,876.0,635.0,510.0,1130.0,674.0,1160.0,75.89,96.45
811.0,967.0,478.0,995.0,783.0,586.0,432.0,958.0,622.0,949.0,64.0,84.0
902.0,1028.0,485.0,1064.0,873.0,626.0,501.0,1096.0,648.0,1040.0,64.34,99.44
884.0,1066.0,525.0,970.0,804.0,574.0,465.0,988.0,642.0,1047.0,74.0,76.0
1011.0,1097.0,517.0,1117.0,933.0,662.0,528.0,1157.0,710.0,1121.0,82.08,96.85
766.0,923.0,460.0,966.0,768.0,565.0,466.0,980.0,620.0,970.0,66.0,87.0
777.0,863.0,458.0,936.0,833.0,515.0,443.0,1060.0,589.0,887.0,74.25,91.67
801.0,953.0,468.0,914.0,854.0,506.0,476.0,1071.0,638.0,979.0,68.0,85.0
835.0,910.0,450.0,960.0,726.0,523.0,460.0,955.0,600.0,951.0,62.0,78.0
914.0,985.0,493.0,1087.0,772.0,607.0,468.0,1015.0,634.0,984.0,66.83,102.59
1028.0,1166.0,515.0,1057.0,802.0,619.0,494.0,1055.0,666.0,1144.0,68.0,81.0
776.0,827.0,438.0,914.0,771.0,499.0,410.0,952.0,621.0,858.0,64.0,75.0
846.0,941.0,460.0,1041.0,931.0,586.0,457.0,1160.0,690.0,962.0,90.07,104.06
862.0,918.0,497.0,944.0,858.0,546.0,447.0,1069.0,647.0,936.0,72.12,87.93
765.0,805.0,470.0,895.0,819.0,495.0,423.0,1017.0,638.0,870.0,70.0,81.0
1140.0,1286.0,524.0,1075.0,696.0,653.0,473.0,950.0,590.0,1184.0,66.08,75.36
820.0,936.0,458.0,985.0,820.0,550.0,473.0,1017.0,630.0,1001.0,72.0,84.0
927.0,1005.0,473.0,1034.0,876.0,581.0,442.0,1070.0,644.0,978.0,85.88,94.82
920.0,1054.0,500.0,1072.0,885.0,633.0,480.0,1120.0,645.0,1048.0,73.41,98.97
865.0,1023.0,446.0,1057.0,812.0,614.0,507.0,1038.0,630.0,1049.0,77.49,97.11
838.0,899.0,485.0,1006.0,867.0,578.0,470.0,1106.0,646.0,922.0,66.08,91.38
772.0,949.0,470.0,985.0,844.0,547.0,452.0,1073.0,655.0,973.0,69.0,86.0
1158.0,1157.0,554.0,1086.0,706.0,672.0,522.0,921.0,561.0,1148.0,69.32,83.2
957.0,1035.0,569.0,1032.0,803.0,601.0,473.0,1025.0,637.0,1038.0,59.31,88.19
776.0,922.0,457.0,966.0,832.0,567.0,457.0,1125.0,620.0,936.0,56.25,79.98
915.0,945.0,470.0,1064.0,802.0,611.0,440.0,1041.0,629.0,952.0,67.0,73.0
875.0,1063.0,501.0,1018.0,836.0,597.0,494.0,1018.0,680.0,1053.0,68.0,82.0
868.0,999.0,466.0,960.0,763.0,539.0,446.0,998.0,620.0,1007.0,72.02,99.18
992.0,1112.0,513.0,1052.0,786.0,562.0,441.0,974.0,607.0,1065.0,79.03,82.41
679.0,822.0,452.0,886.0,805.0,470.0,430.0,1020.0,643.0,849.0,66.0,71.0
851.0,982.0,491.0,974.0,856.0,541.0,444.0,1058.0,611.0,956.0,76.52,89.25
754.0,926.0,479.0,868.0,860.0,500.0,449.0,1031.0,649.0,960.0,72.0,82.0
896.0,1020.0,535.0,1101.0,798.0,657.0,487.0,1045.0,625.0,1064.0,71.34,91.81
835.0,940.0,473.0,1022.0,814.0,609.0,464.0,1040.0,628.0,969.0,63.37,87.22
1016.0,1185.0,521.0,1095.0,823.0,650.0,517.0,1086.0,626.0,1222.0,70.0,79.0
772.0,879.0,466.0,909.0,810.0,522.0,441.0,993.0,632.0,893.0,66.0,74.0
733.0,869.0,426.0,885.0,767.0,519.0,430.0,1003.0,580.0,894.0,62.16,79.3
941.0,1030.0,495.0,1017.0,926.0,600.0,477.0,1141.0,669.0,1030.0,81.24,92.4
985.0,1087.0,475.0,1015.0,771.0,552.0,491.0,1010.0,619.0,1048.0,64.0,74.0
866.0,956.0,465.0,910.0,817.0,520.0,461.0,1041.0,654.0,944.0,66.0,83.0
853.0,942.0,485.0,940.0,888.0,544.0,474.0,1098.0,677.0,962.0,68.86,103.86
819.0,907.0,453.0,930.0,868.0,544.0,430.0,1088.0,663.0,924.0,72.79,89.19
790.0,920.0,465.0,960.0,769.0,560.0,458.0,966.0,630.0,950.0,64.0,72.0
730.0,880.0,460.0,905.0,768.0,510.0,465.0,1006.0,616.0,925.0,60.0,79.0
