"Waist Circumference, Pref (mm)",Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),Weight (kg),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
737.0,825.0,706.0,405.0,940.0,784.0,535.0,385.0,966.0,586.0,808.0,50.4,58.0,65.0
708.0,885.0,800.0,425.0,1016.0,782.0,585.0,382.0,1038.0,596.0,864.0,62.0,70.01,84.13
680.0,733.0,653.0,417.0,889.0,765.0,470.0,365.0,943.0,565.0,729.0,44.0,51.0,70.0
1040.0,1156.0,994.0,470.0,1160.0,801.0,698.0,456.0,1042.0,577.0,1087.0,95.2,70.1,81.35
885.0,1088.0,883.0,477.0,1165.0,758.0,712.0,492.0,1006.0,561.0,977.0,86.5,59.65,76.72
1025.0,1159.0,1022.0,498.0,1208.0,752.0,705.0,487.0,982.0,542.0,1081.0,93.5,66.52,75.25
694.0,834.0,685.0,441.0,1000.0,733.0,565.0,411.0,976.0,570.0,851.0,55.3,59.0,74.0
936.0,1103.0,947.0,484.0,1213.0,788.0,711.0,485.0,1067.0,603.0,1005.0,91.0,57.85,69.33
811.0,865.0,706.0,445.0,977.0,739.0,557.0,393.0,914.0,560.0,844.0,57.2,68.0,74.0
800.0,850.0,750.0,458.0,940.0,732.0,535.0,405.0,929.0,578.0,847.0,53.6,64.0,68.0
739.0,975.0,828.0,417.0,1015.0,781.0,565.0,397.0,1036.0,608.0,910.0,67.0,72.9,75.4
746.0,895.0,763.0,406.0,978.0,829.0,562.0,422.0,1059.0,606.0,868.0,67.3,61.08,70.51
773.0,962.0,840.0,458.0,1169.0,789.0,686.0,435.0,1058.0,591.0,954.0,75.1,59.83,81.46
730.0,849.0,745.0,439.0,940.0,780.0,540.0,408.0,967.0,611.0,828.0,55.3,60.0,74.0
890.0,937.0,800.0,395.0,1035.0,753.0,615.0,432.0,935.0,577.0,903.0,65.8,64.0,72.0
820.0,952.0,846.0,447.0,915.0,847.0,499.0,412.0,1090.0,594.0,933.0,60.7,69.67,78.71
609.0,805.0,702.0,420.0,865.0,743.0,472.0,379.0,979.0,523.0,801.0,44.0,61.82,76.54
1062.0,1148.0,981.0,471.0,1156.0,657.0,659.0,415.0,921.0,541.0,1060.0,80.3,60.92,77.56
694.0,878.0,753.0,397.0,911.0,768.0,530.0,393.0,972.0,564.0,845.0,53.1,58.0,68.0
