"Waist Circumference, Pref (mm)",Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),Weight (kg),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
900.0,1141.0,876.0,444.0,1157.0,687.0,698.0,492.0,932.0,568.0,1028.0,80.9,63.0,71.0
747.0,902.0,773.0,431.0,1059.0,860.0,593.0,436.0,1118.0,639.0,892.0,69.1,74.15,89.06
832.0,960.0,798.0,504.0,997.0,711.0,594.0,377.0,931.0,533.0,926.0,64.2,70.5,72.45
820.0,950.0,770.0,420.0,972.0,711.0,532.0,430.0,964.0,586.0,915.0,57.3,54.0,69.0
747.0,971.0,747.0,435.0,1116.0,773.0,652.0,426.0,1028.0,582.0,907.0,73.1,63.52,75.98
794.0,794.0,705.0,416.0,961.0,763.0,548.0,384.0,930.0,587.0,787.0,50.4,62.0,71.0
821.0,980.0,805.0,426.0,1039.0,735.0,610.0,403.0,996.0,577.0,965.0,65.0,72.0,76.0
749.0,924.0,725.0,456.0,985.0,768.0,583.0,394.0,992.0,574.0,858.0,57.1,55.51,67.47
812.0,991.0,782.0,424.0,1013.0,808.0,584.0,414.0,1061.0,619.0,895.0,68.2,56.01,72.79
787.0,883.0,800.0,434.0,945.0,756.0,504.0,412.0,988.0,585.0,878.0,57.1,55.96,77.55
723.0,901.0,771.0,420.0,1006.0,762.0,547.0,425.0,1006.0,616.0,896.0,60.3,56.0,68.0
725.0,909.0,766.0,466.0,982.0,932.0,566.0,425.0,1218.0,656.0,877.0,69.1,82.6,87.99
735.0,855.0,686.0,430.0,951.0,795.0,545.0,395.0,1017.0,603.0,805.0,54.9,64.0,75.0
861.0,1050.0,885.0,461.0,1050.0,737.0,620.0,457.0,976.0,557.0,968.0,77.2,59.39,75.51
683.0,832.0,720.0,410.0,977.0,753.0,555.0,426.0,1005.0,590.0,841.0,55.2,66.0,73.0
724.0,821.0,728.0,415.0,909.0,808.0,502.0,390.0,999.0,609.0,816.0,53.7,64.0,76.0
953.0,1136.0,939.0,422.0,1227.0,781.0,769.0,488.0,1050.0,604.0,1039.0,95.4,66.91,86.04
790.0,883.0,748.0,415.0,983.0,751.0,550.0,392.0,976.0,578.0,839.0,58.0,67.51,67.56
916.0,1025.0,861.0,471.0,1096.0,745.0,639.0,458.0,988.0,547.0,954.0,74.1,64.0,75.68
776.0,923.0,813.0,422.0,1051.0,731.0,614.0,403.0,979.0,594.0,904.0,67.5,62.0,80.0
724.0,920.0,716.0,417.0,1021.0,737.0,601.0,409.0,1014.0,556.0,845.0,59.2,70.2,71.59
845.0,1010.0,853.0,464.0,1087.0,800.0,615.0,420.0,1064.0,565.0,980.0,75.7,72.38,87.91
851.0,1035.0,838.0,448.0,1177.0,795.0,665.0,456.0,1058.0,595.0,990.0,81.0,64.35,80.18
687.0,824.0,717.0,427.0,895.0,789.0,491.0,378.0,1013.0,584.0,806.0,50.6,69.13,75.83
910.0,1037.0,907.0,452.0,1035.0,685.0,590.0,423.0,970.0,562.0,957.0,66.0,58.0,72.0
671.0,857.0,749.0,428.0,952.0,807.0,548.0,398.0,1046.0,595.0,844.0,56.4,72.61,84.94
703.0,906.0,772.0,409.0,930.0,774.0,517.0,387.0,1002.0,603.0,860.0,54.9,62.0,74.0
826.0,1023.0,853.0,454.0,1047.0,803.0,613.0,426.0,1064.0,592.0,949.0,73.1,64.96,82.45
1008.0,1143.0,985.0,509.0,1211.0,799.0,698.0,503.0,1053.0,568.0,1018.0,96.2,72.51,79.43
727.0,914.0,770.0,431.0,1025.0,734.0,591.0,423.0,974.0,564.0,883.0,59.8,67.6,76.17
714.0,881.0,741.0,409.0,937.0,796.0,569.0,418.0,1020.0,556.0,857.0,59.4,80.71,89.21
892.0,957.0,791.0,436.0,1120.0,864.0,620.0,431.0,1105.0,612.0,905.0,80.0,67.93,81.88
795.0,902.0,747.0,453.0,1006.0,843.0,564.0,430.0,1093.0,632.0,875.0,63.6,68.0,82.0
916.0,1072.0,889.0,464.0,1005.0,715.0,546.0,442.0,983.0,560.0,983.0,64.8,62.97,69.09
792.0,1009.0,855.0,450.0,1085.0,751.0,619.0,438.0,997.0,608.0,971.0,71.7,55.88,89.81
828.0,1002.0,840.0,435.0,992.0,833.0,542.0,416.0,1079.0,618.0,942.0,72.1,66.23,84.43
792.0,849.0,730.0,436.0,974.0,800.0,512.0,384.0,961.0,629.0,823.0,56.0,62.0,70.0
734.0,841.0,720.0,420.0,1053.0,715.0,600.0,414.0,916.0,582.0,855.0,57.7,60.0,77.0
800.0,952.0,820.0,443.0,1072.0,802.0,633.0,440.0,1037.0,613.0,921.0,70.7,66.55,75.02
839.0,971.0,752.0,410.0,1056.0,772.0,596.0,441.0,1013.0,611.0,890.0,65.5,64.0,81.0
737.0,945.0,783.0,440.0,1086.0,802.0,663.0,426.0,1056.0,560.0,877.0,73.9,66.19,88.46
705.0,808.0,710.0,415.0,884.0,683.0,517.0,397.0,915.0,565.0,805.0,46.7,57.0,69.0
698.0,922.0,759.0,466.0,1100.0,812.0,603.0,377.0,1075.0,614.0,862.0,69.1,68.0,72.0
675.0,862.0,767.0,390.0,971.0,749.0,538.0,392.0,1003.0,567.0,850.0,54.5,63.07,82.95
771.0,863.0,767.0,435.0,986.0,724.0,576.0,412.0,969.0,570.0,858.0,58.6,59.0,74.0
928.0,1029.0,990.0,496.0,970.0,844.0,534.0,444.0,1038.0,615.0,1055.0,81.2,73.51,90.83
720.0,893.0,754.0,439.0,950.0,785.0,539.0,402.0,1030.0,619.0,840.0,55.9,61.0,73.0
643.0,870.0,711.0,440.0,998.0,717.0,555.0,384.0,967.0,544.0,805.0,54.3,56.0,70.0
867.0,1010.0,883.0,431.0,1050.0,759.0,607.0,406.0,1035.0,566.0,955.0,72.4,57.18,85.38
1033.0,1216.0,1052.0,480.0,1193.0,754.0,631.0,484.0,1011.0,597.0,1136.0,92.1,76.36,69.04
857.0,1002.0,830.0,458.0,1145.0,802.0,666.0,428.0,1052.0,604.0,905.0,78.4,62.51,84.32
633.0,830.0,680.0,409.0,868.0,700.0,506.0,384.0,894.0,529.0,804.0,43.3,56.0,61.0
747.0,889.0,731.0,414.0,961.0,706.0,553.0,412.0,944.0,541.0,858.0,56.2,58.0,64.0
695.0,839.0,707.0,405.0,914.0,781.0,530.0,405.0,1027.0,590.0,842.0,52.2,66.0,72.0
1200.0,1270.0,1066.0,546.0,1189.0,732.0,721.0,451.0,1014.0,570.0,1089.0,107.6,68.65,71.66
868.0,981.0,809.0,435.0,1060.0,831.0,564.0,408.0,1036.0,625.0,911.0,71.0,68.0,75.0
665.0,800.0,680.0,414.0,990.0,732.0,575.0,384.0,991.0,577.0,787.0,53.1,60.0,73.0
763.0,818.0,676.0,409.0,927.0,775.0,517.0,364.0,926.0,589.0,784.0,49.5,76.0,80.0
750.0,851.0,718.0,437.0,895.0,750.0,497.0,418.0,967.0,607.0,875.0,50.0,64.0,77.0
771.0,868.0,739.0,405.0,1030.0,830.0,559.0,426.0,1064.0,588.0,899.0,63.5,76.84,89.1
696.0,919.0,816.0,451.0,1000.0,777.0,587.0,387.0,1013.0,579.0,854.0,58.8,59.23,84.01
834.0,1006.0,795.0,415.0,1034.0,700.0,600.0,405.0,932.0,538.0,929.0,63.9,60.0,67.0
960.0,1149.0,971.0,466.0,1100.0,674.0,648.0,435.0,896.0,532.0,1038.0,82.0,67.85,82.28
651.0,850.0,733.0,446.0,995.0,722.0,570.0,411.0,1006.0,579.0,831.0,53.5,61.0,73.0
677.0,849.0,710.0,400.0,926.0,756.0,518.0,402.0,967.0,573.0,818.0,48.8,59.0,69.0
685.0,860.0,719.0,382.0,1019.0,802.0,582.0,420.0,1034.0,620.0,824.0,60.9,64.56,81.42
1135.0,1235.0,1013.0,489.0,1294.0,729.0,686.0,519.0,993.0,613.0,1059.0,90.9,58.94,70.51
781.0,971.0,794.0,469.0,1026.0,764.0,565.0,410.0,1008.0,585.0,876.0,64.5,68.0,83.0
905.0,1080.0,881.0,484.0,1075.0,814.0,637.0,434.0,1057.0,611.0,1002.0,77.7,72.94,81.73
658.0,853.0,749.0,412.0,978.0,794.0,530.0,419.0,1039.0,573.0,850.0,58.4,60.45,80.17
829.0,916.0,744.0,420.0,1029.0,771.0,610.0,407.0,981.0,575.0,869.0,65.7,56.0,75.0
855.0,991.0,827.0,475.0,1043.0,689.0,629.0,414.0,936.0,533.0,941.0,64.9,48.4,75.37
735.0,855.0,677.0,409.0,940.0,743.0,520.0,382.0,945.0,570.0,802.0,48.8,62.0,70.0
882.0,954.0,817.0,448.0,1162.0,787.0,675.0,427.0,1040.0,608.0,959.0,79.8,62.0,74.0
1005.0,1143.0,905.0,527.0,1214.0,845.0,720.0,444.0,1050.0,590.0,1043.0,97.1,62.22,87.84
1085.0,1150.0,945.0,454.0,1251.0,746.0,710.0,451.0,1058.0,585.0,1012.0,91.8,74.0,76.0
630.0,756.0,690.0,396.0,853.0,661.0,476.0,370.0,866.0,520.0,775.0,42.9,59.0,72.0
732.0,921.0,752.0,421.0,1004.0,763.0,606.0,430.0,1036.0,587.0,874.0,57.3,64.0,71.0
862.0,972.0,865.0,426.0,1119.0,752.0,659.0,420.0,979.0,573.0,953.0,69.9,61.51,63.15
652.0,825.0,695.0,470.0,925.0,786.0,510.0,394.0,999.0,604.0,829.0,50.5,56.0,74.0
880.0,878.0,777.0,417.0,1030.0,785.0,580.0,420.0,988.0,607.0,880.0,63.1,57.0,71.0
791.0,905.0,777.0,430.0,1105.0,789.0,646.0,441.0,1040.0,571.0,895.0,74.0,62.74,79.94
739.0,922.0,795.0,461.0,1050.0,814.0,622.0,432.0,1058.0,567.0,904.0,66.0,61.92,87.03
906.0,1080.0,970.0,451.0,1122.0,827.0,681.0,483.0,1090.0,611.0,1076.0,88.5,70.56,87.45
930.0,1095.0,895.0,475.0,1114.0,862.0,642.0,444.0,1070.0,619.0,1019.0,79.6,62.08,71.3
681.0,831.0,690.0,410.0,865.0,697.0,522.0,381.0,924.0,538.0,794.0,46.1,62.0,70.0
795.0,983.0,790.0,412.0,960.0,726.0,500.0,430.0,954.0,579.0,922.0,57.3,62.0,73.0
1189.0,1286.0,1082.0,515.0,1262.0,803.0,711.0,483.0,1050.0,580.0,1126.0,109.7,62.32,81.65
716.0,898.0,772.0,422.0,1003.0,828.0,573.0,410.0,1082.0,594.0,855.0,63.5,67.21,80.98
713.0,917.0,756.0,437.0,967.0,788.0,520.0,403.0,1034.0,592.0,870.0,58.6,67.91,76.69
634.0,840.0,748.0,425.0,920.0,752.0,497.0,409.0,994.0,594.0,854.0,50.3,64.0,80.0
840.0,985.0,779.0,435.0,1047.0,820.0,610.0,414.0,1051.0,636.0,922.0,70.6,59.89,80.53
730.0,834.0,688.0,442.0,999.0,828.0,545.0,386.0,1037.0,601.0,799.0,54.2,64.0,78.0
740.0,914.0,740.0,446.0,960.0,739.0,545.0,409.0,950.0,572.0,876.0,57.7,63.0,75.0
636.0,823.0,708.0,390.0,878.0,695.0,511.0,367.0,920.0,515.0,806.0,46.5,56.05,70.87
822.0,979.0,815.0,448.0,1082.0,791.0,623.0,448.0,1050.0,603.0,940.0,71.2,65.08,80.11
680.0,811.0,700.0,412.0,905.0,778.0,507.0,368.0,995.0,568.0,800.0,49.4,72.0,82.0
1047.0,1185.0,978.0,490.0,1100.0,717.0,630.0,508.0,1004.0,524.0,1124.0,92.5,71.14,82.6
752.0,900.0,734.0,425.0,990.0,726.0,570.0,397.0,953.0,586.0,834.0,57.8,63.0,69.0
1134.0,1261.0,1046.0,476.0,1198.0,717.0,716.0,503.0,1011.0,563.0,1106.0,102.0,66.95,60.3
814.0,960.0,805.0,440.0,960.0,704.0,580.0,406.0,942.0,560.0,937.0,61.2,68.0,78.0
842.0,951.0,758.0,427.0,950.0,802.0,527.0,419.0,1015.0,583.0,893.0,60.9,63.77,78.59
791.0,942.0,822.0,474.0,1008.0,882.0,607.0,429.0,1140.0,610.0,925.0,73.6,77.83,85.94
881.0,1036.0,870.0,433.0,1046.0,800.0,586.0,454.0,1083.0,619.0,970.0,75.4,64.0,75.0
702.0,858.0,738.0,419.0,937.0,724.0,540.0,393.0,934.0,535.0,825.0,50.1,60.0,75.0
783.0,949.0,804.0,421.0,1023.0,740.0,578.0,396.0,972.0,550.0,945.0,58.5,53.33,62.43
830.0,1004.0,872.0,470.0,1055.0,775.0,601.0,426.0,1006.0,557.0,967.0,71.8,62.27,82.24
784.0,928.0,840.0,410.0,1105.0,851.0,611.0,440.0,1088.0,623.0,918.0,72.0,72.07,88.15
681.0,859.0,709.0,424.0,909.0,694.0,524.0,400.0,924.0,552.0,825.0,49.5,56.0,71.0
800.0,995.0,813.0,417.0,1024.0,815.0,565.0,407.0,1076.0,577.0,910.0,67.0,64.2,86.38
788.0,914.0,772.0,459.0,1004.0,809.0,563.0,404.0,1034.0,609.0,864.0,66.3,76.0,82.0
792.0,798.0,690.0,425.0,988.0,796.0,545.0,395.0,1029.0,625.0,790.0,53.5,62.0,70.0
788.0,935.0,795.0,452.0,1072.0,825.0,611.0,452.0,1050.0,647.0,910.0,67.4,76.0,83.0
739.0,908.0,779.0,425.0,965.0,795.0,552.0,388.0,1038.0,590.0,870.0,60.4,52.03,77.45
783.0,959.0,761.0,421.0,1035.0,772.0,597.0,418.0,1005.0,583.0,891.0,64.6,58.85,77.53
