Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Hourglass,Inverted Triangle,Rectangle,Triangle,Weight (kg)
29.7,160.0,56.0,37.0,Hourglass,1.0,0.0,0.0,0.0,55.5
19.8,165.0,60.0,40.0,Hourglass,1.0,0.0,0.0,0.0,62.2
19.3,168.0,53.0,37.5,Rectangle,0.0,0.0,1.0,0.0,54.9
59.7,158.0,59.0,36.5,Rectangle,0.0,0.0,1.0,0.0,58.8
18.0,172.0,61.4,38.0,Hourglass,1.0,0.0,0.0,0.0,61.6
37.0,183.0,115.0,42.0,Rectangle,0.0,0.0,1.0,0.0,119.3
38.0,174.0,59.0,39.5,Rectangle,0.0,0.0,1.0,0.0,59.7
30.4,155.0,53.0,35.5,Rectangle,0.0,0.0,1.0,0.0,56.1
44.8,156.0,68.0,37.5,Rectangle,0.0,0.0,1.0,0.0,68.5
50.0,176.0,76.0,39.0,Rectangle,0.0,0.0,1.0,0.0,77.2
19.5,173.0,58.0,38.5,Triangle,0.0,0.0,0.0,1.0,63.4
51.0,168.0,63.0,38.0,Hourglass,1.0,0.0,0.0,0.0,63.6
25.4,161.0,60.0,37.0,Rectangle,0.0,0.0,1.0,0.0,62.6
22.0,178.0,60.0,40.0,Rectangle,0.0,0.0,1.0,0.0,60.9
34.1,160.0,56.0,37.0,Hourglass,1.0,0.0,0.0,0.0,56.4
34.1,158.0,54.0,37.0,Triangle,0.0,0.0,0.0,1.0,55.7
43.0,176.0,87.0,42.0,Rectangle,0.0,0.0,1.0,0.0,87.5
21.9,162.0,59.0,37.5,Hourglass,1.0,0.0,0.0,0.0,58.8
22.1,170.0,62.0,37.0,Rectangle,0.0,0.0,1.0,0.0,63.9
44.0,167.0,77.0,37.0,Rectangle,0.0,0.0,1.0,0.0,79.2
19.5,165.0,50.0,39.0,Hourglass,1.0,0.0,0.0,0.0,51.7
59.8,167.0,78.0,39.5,Triangle,0.0,0.0,0.0,1.0,76.6
28.0,154.0,52.0,34.0,Rectangle,0.0,0.0,1.0,0.0,52.4
18.4,175.0,55.0,38.0,Triangle,0.0,0.0,0.0,1.0,54.1
52.0,169.0,89.0,42.0,Rectangle,0.0,0.0,1.0,0.0,91.0
26.6,165.0,52.0,37.0,Rectangle,0.0,0.0,1.0,0.0,51.2
24.0,168.0,55.0,37.0,Triangle,0.0,0.0,0.0,1.0,55.7
37.0,195.0,81.0,44.0,Hourglass,1.0,0.0,0.0,0.0,79.2
21.3,168.0,52.0,38.0,Triangle,0.0,0.0,0.0,1.0,49.6
31.0,160.0,52.0,37.5,Hourglass,1.0,0.0,0.0,0.0,55.6
26.2,170.0,53.0,39.0,Rectangle,0.0,0.0,1.0,0.0,51.8
18.3,170.0,62.0,39.5,Hourglass,1.0,0.0,0.0,0.0,61.9
25.9,165.0,53.0,37.0,Triangle,0.0,0.0,0.0,1.0,51.8
44.0,180.0,69.0,41.0,Hourglass,1.0,0.0,0.0,0.0,71.1
36.0,168.0,60.0,37.0,Hourglass,1.0,0.0,0.0,0.0,65.9
18.2,173.0,53.0,39.5,Triangle,0.0,0.0,0.0,1.0,51.8
26.0,166.0,64.0,40.5,Rectangle,0.0,0.0,1.0,0.0,61.9
55.0,167.0,74.0,39.0,Rectangle,0.0,0.0,1.0,0.0,75.8
23.0,173.0,61.0,39.0,Hourglass,1.0,0.0,0.0,0.0,60.0
23.0,177.0,65.0,38.0,Hourglass,1.0,0.0,0.0,0.0,70.7
29.2,170.0,72.0,40.0,Hourglass,1.0,0.0,0.0,0.0,73.0
44.0,180.0,85.0,42.0,Rectangle,0.0,0.0,1.0,0.0,88.5
57.0,162.0,65.0,39.0,Hourglass,1.0,0.0,0.0,0.0,66.7
