Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Hourglass,Inverted Triangle,Rectangle,Triangle,Weight (kg)
34.0,178.0,54.0,39.0,Rectangle,0.0,0.0,1.0,0.0,60.0
64.0,166.0,94.0,41.5,Rectangle,0.0,0.0,1.0,0.0,94.5
57.0,160.0,61.0,39.0,Rectangle,0.0,0.0,1.0,0.0,63.8
30.0,175.0,57.0,39.0,Rectangle,0.0,0.0,1.0,0.0,58.9
22.0,168.0,69.0,41.0,Rectangle,0.0,0.0,1.0,0.0,72.0
24.6,175.0,60.0,40.0,Hourglass,1.0,0.0,0.0,0.0,62.3
27.3,170.0,70.0,40.0,Rectangle,0.0,0.0,1.0,0.0,84.4
23.0,165.0,55.0,37.0,Hourglass,1.0,0.0,0.0,0.0,59.0
19.0,182.0,57.0,42.0,Triangle,0.0,0.0,0.0,1.0,56.0
40.0,159.0,57.0,37.0,Hourglass,1.0,0.0,0.0,0.0,59.9
53.0,178.0,65.0,44.0,Rectangle,0.0,0.0,1.0,0.0,68.9
36.0,167.0,60.0,39.0,Hourglass,1.0,0.0,0.0,0.0,60.4
30.0,169.0,58.0,39.0,Hourglass,1.0,0.0,0.0,0.0,57.5
19.3,168.0,51.0,38.0,Rectangle,0.0,0.0,1.0,0.0,51.5
35.0,161.0,67.0,40.0,Rectangle,0.0,0.0,1.0,0.0,64.8
59.0,176.0,65.0,40.0,Rectangle,0.0,0.0,1.0,0.0,66.8
33.0,168.0,100.0,42.0,Rectangle,0.0,0.0,1.0,0.0,105.0
27.2,160.0,55.0,36.0,Triangle,0.0,0.0,0.0,1.0,55.0
47.0,153.0,60.0,36.0,Rectangle,0.0,0.0,1.0,0.0,61.9
26.0,175.0,98.0,43.0,Inverted Triangle,0.0,1.0,0.0,0.0,101.7
40.2,162.0,50.0,36.0,Triangle,0.0,0.0,0.0,1.0,53.2
39.0,182.0,78.0,38.0,Rectangle,0.0,0.0,1.0,0.0,77.4
43.0,165.0,75.0,37.0,Triangle,0.0,0.0,0.0,1.0,81.0
44.0,176.0,87.0,41.0,Rectangle,0.0,0.0,1.0,0.0,89.8
51.0,168.0,78.5,39.0,Rectangle,0.0,0.0,1.0,0.0,80.1
27.0,177.0,64.0,40.0,Hourglass,1.0,0.0,0.0,0.0,67.2
22.5,165.0,64.0,39.0,Rectangle,0.0,0.0,1.0,0.0,62.7
20.3,157.0,50.0,38.0,Rectangle,0.0,0.0,1.0,0.0,50.8
57.7,165.0,70.0,36.5,Hourglass,1.0,0.0,0.0,0.0,72.3
18.8,167.0,67.0,38.5,Triangle,0.0,0.0,0.0,1.0,57.9
61.0,178.0,82.0,42.0,Inverted Triangle,0.0,1.0,0.0,0.0,83.2
51.0,160.0,53.0,36.0,Hourglass,1.0,0.0,0.0,0.0,55.6
60.0,165.0,67.0,39.0,Rectangle,0.0,0.0,1.0,0.0,66.4
49.0,168.0,74.0,39.0,Hourglass,1.0,0.0,0.0,0.0,75.9
56.0,163.0,75.0,39.0,Rectangle,0.0,0.0,1.0,0.0,74.1
50.0,164.0,75.0,38.0,Rectangle,0.0,0.0,1.0,0.0,76.3
19.0,171.0,61.0,39.0,Hourglass,1.0,0.0,0.0,0.0,58.4
28.4,166.0,53.0,37.0,Hourglass,1.0,0.0,0.0,0.0,52.6
41.0,188.0,80.0,43.0,Triangle,0.0,0.0,0.0,1.0,80.3
20.0,180.0,68.0,40.0,Hourglass,1.0,0.0,0.0,0.0,72.1
25.0,180.0,77.0,40.0,Hourglass,1.0,0.0,0.0,0.0,78.4
22.0,170.0,58.0,38.0,Hourglass,1.0,0.0,0.0,0.0,60.2
19.0,176.0,60.0,39.0,Rectangle,0.0,0.0,1.0,0.0,57.4
39.0,175.0,67.0,41.0,Rectangle,0.0,0.0,1.0,0.0,68.4
33.0,172.0,70.0,41.0,Triangle,0.0,0.0,0.0,1.0,67.2
28.7,166.0,50.0,37.0,Hourglass,1.0,0.0,0.0,0.0,50.6
20.0,162.0,49.0,39.0,Rectangle,0.0,0.0,1.0,0.0,49.4
19.6,165.0,52.0,38.5,Rectangle,0.0,0.0,1.0,0.0,51.8
35.0,158.0,77.0,38.0,Rectangle,0.0,0.0,1.0,0.0,82.9
39.0,167.0,67.0,39.0,Triangle,0.0,0.0,0.0,1.0,67.3
22.0,176.0,100.0,41.0,Hourglass,1.0,0.0,0.0,0.0,112.3
38.0,158.0,70.5,38.0,Rectangle,0.0,0.0,1.0,0.0,77.4
32.0,160.0,78.0,39.0,Hourglass,1.0,0.0,0.0,0.0,81.0
22.0,185.0,62.0,42.0,Triangle,0.0,0.0,0.0,1.0,68.1
22.2,172.0,55.0,39.0,Triangle,0.0,0.0,0.0,1.0,54.4
21.0,170.0,55.0,40.0,Triangle,0.0,0.0,0.0,1.0,55.4
40.0,180.0,75.0,41.0,Hourglass,1.0,0.0,0.0,0.0,79.1
22.5,168.0,56.0,39.5,Rectangle,0.0,0.0,1.0,0.0,58.3
64.0,172.0,110.0,39.0,Rectangle,0.0,0.0,1.0,0.0,106.3
33.8,162.0,58.0,36.0,Rectangle,0.0,0.0,1.0,0.0,60.5
26.8,162.0,51.0,37.0,Rectangle,0.0,0.0,1.0,0.0,49.5
38.4,165.0,63.0,37.0,Triangle,0.0,0.0,0.0,1.0,63.1
60.0,166.0,59.5,39.0,Rectangle,0.0,0.0,1.0,0.0,59.2
19.1,167.0,50.0,38.0,Triangle,0.0,0.0,0.0,1.0,49.7
25.0,158.0,46.0,37.0,Rectangle,0.0,0.0,1.0,0.0,47.5
29.0,171.0,60.0,39.0,Hourglass,1.0,0.0,0.0,0.0,61.0
46.0,173.0,80.0,42.0,Rectangle,0.0,0.0,1.0,0.0,84.6
20.0,165.0,65.0,39.0,Hourglass,1.0,0.0,0.0,0.0,63.1
18.3,165.0,52.0,37.0,Rectangle,0.0,0.0,1.0,0.0,54.2
25.5,165.0,61.0,38.0,Triangle,0.0,0.0,0.0,1.0,62.1
44.0,165.0,67.0,37.0,Hourglass,1.0,0.0,0.0,0.0,68.0
54.0,165.0,78.0,39.0,Rectangle,0.0,0.0,1.0,0.0,76.9
32.0,164.0,57.0,38.0,Hourglass,1.0,0.0,0.0,0.0,56.2
32.6,160.0,54.0,37.5,Hourglass,1.0,0.0,0.0,0.0,56.5
20.2,164.0,50.0,38.0,Triangle,0.0,0.0,0.0,1.0,50.4
50.0,167.0,61.0,38.0,Hourglass,1.0,0.0,0.0,0.0,62.0
18.0,161.0,45.0,38.5,Triangle,0.0,0.0,0.0,1.0,44.0
49.0,176.0,95.0,41.0,Rectangle,0.0,0.0,1.0,0.0,95.2
31.0,161.0,80.0,37.0,Hourglass,1.0,0.0,0.0,0.0,86.5
56.0,161.0,94.0,37.0,Rectangle,0.0,0.0,1.0,0.0,93.5
20.6,168.0,56.0,38.0,Hourglass,1.0,0.0,0.0,0.0,55.3
30.0,170.0,89.0,38.5,Hourglass,1.0,0.0,0.0,0.0,91.0
20.4,163.0,52.0,37.0,Triangle,0.0,0.0,0.0,1.0,57.2
18.3,162.0,54.0,39.0,Rectangle,0.0,0.0,1.0,0.0,53.6
55.0,163.0,69.0,39.0,Hourglass,1.0,0.0,0.0,0.0,67.0
20.0,174.0,70.0,40.0,Rectangle,0.0,0.0,1.0,0.0,67.3
32.0,169.0,70.0,39.5,Hourglass,1.0,0.0,0.0,0.0,75.1
23.3,164.0,55.0,38.5,Rectangle,0.0,0.0,1.0,0.0,55.3
22.5,164.0,62.0,38.0,Triangle,0.0,0.0,0.0,1.0,65.8
64.0,168.0,60.0,40.0,Rectangle,0.0,0.0,1.0,0.0,60.7
26.0,160.0,46.0,37.0,Hourglass,1.0,0.0,0.0,0.0,44.0
58.0,152.0,80.0,39.0,Rectangle,0.0,0.0,1.0,0.0,80.3
25.5,167.0,53.0,38.0,Rectangle,0.0,0.0,1.0,0.0,53.1
23.8,162.0,52.0,38.0,Rectangle,0.0,0.0,1.0,0.0,52.0
21.4,157.0,57.8,37.5,Rectangle,0.0,0.0,1.0,0.0,57.0
27.3,160.0,49.0,35.5,Hourglass,1.0,0.0,0.0,0.0,47.7
29.0,184.0,74.0,42.0,Triangle,0.0,0.0,0.0,1.0,74.9
44.0,180.0,69.0,40.0,Rectangle,0.0,0.0,1.0,0.0,67.7
33.0,156.0,80.0,37.0,Rectangle,0.0,0.0,1.0,0.0,85.5
18.0,160.0,55.0,37.5,Hourglass,1.0,0.0,0.0,0.0,56.0
56.0,160.0,65.0,40.0,Hourglass,1.0,0.0,0.0,0.0,68.6
49.0,152.0,56.0,35.5,Rectangle,0.0,0.0,1.0,0.0,55.4
20.0,163.0,60.0,37.0,Triangle,0.0,0.0,0.0,1.0,62.0
38.0,169.0,57.0,38.0,Hourglass,1.0,0.0,0.0,0.0,62.1
19.0,180.0,65.0,40.0,Hourglass,1.0,0.0,0.0,0.0,69.5
20.0,166.0,63.0,38.0,Triangle,0.0,0.0,0.0,1.0,58.3
52.0,165.0,48.0,37.0,Rectangle,0.0,0.0,1.0,0.0,48.3
26.2,160.0,55.0,38.0,Hourglass,1.0,0.0,0.0,0.0,53.1
43.0,171.0,70.0,39.0,Rectangle,0.0,0.0,1.0,0.0,77.0
65.0,165.0,89.5,40.0,Rectangle,0.0,0.0,1.0,0.0,87.7
59.0,165.0,93.0,39.0,Inverted Triangle,0.0,1.0,0.0,0.0,96.7
24.0,177.0,65.0,39.0,Triangle,0.0,0.0,0.0,1.0,66.6
30.0,178.0,72.0,39.0,Hourglass,1.0,0.0,0.0,0.0,72.0
45.0,168.0,85.0,40.5,Hourglass,1.0,0.0,0.0,0.0,83.3
27.0,183.0,65.0,41.0,Hourglass,1.0,0.0,0.0,0.0,71.7
40.0,173.0,67.0,38.5,Hourglass,1.0,0.0,0.0,0.0,68.3
32.0,165.0,65.0,37.0,Rectangle,0.0,0.0,1.0,0.0,65.6
53.0,165.0,99.0,40.0,Rectangle,0.0,0.0,1.0,0.0,100.4
26.0,153.0,47.0,37.0,Rectangle,0.0,0.0,1.0,0.0,49.2
44.0,167.0,80.0,38.0,Rectangle,0.0,0.0,1.0,0.0,79.3
48.0,168.0,92.0,41.0,Rectangle,0.0,0.0,1.0,0.0,92.4
20.2,167.0,53.0,37.0,Triangle,0.0,0.0,0.0,1.0,52.1
50.0,160.0,80.0,37.0,Triangle,0.0,0.0,0.0,1.0,85.9
24.0,175.0,55.0,39.0,Hourglass,1.0,0.0,0.0,0.0,54.3
23.7,170.0,57.0,38.5,Hourglass,1.0,0.0,0.0,0.0,60.4
19.5,155.0,45.0,36.0,Rectangle,0.0,0.0,1.0,0.0,44.9
23.9,169.0,58.0,38.0,Hourglass,1.0,0.0,0.0,0.0,56.6
50.7,156.0,54.0,35.5,Rectangle,0.0,0.0,1.0,0.0,56.1
20.0,173.0,76.0,39.5,Hourglass,1.0,0.0,0.0,0.0,75.0
54.0,172.0,103.0,39.0,Rectangle,0.0,0.0,1.0,0.0,104.2
36.0,160.0,55.0,37.0,Rectangle,0.0,0.0,1.0,0.0,56.6
21.2,176.0,70.0,40.0,Hourglass,1.0,0.0,0.0,0.0,71.3
39.0,175.0,64.0,42.0,Triangle,0.0,0.0,0.0,1.0,65.8
28.5,170.0,65.0,39.0,Triangle,0.0,0.0,0.0,1.0,69.8
43.0,160.0,58.0,37.0,Rectangle,0.0,0.0,1.0,0.0,58.3
31.0,172.0,67.0,39.0,Hourglass,1.0,0.0,0.0,0.0,72.1
20.0,163.0,56.0,36.0,Rectangle,0.0,0.0,1.0,0.0,57.2
64.0,159.0,90.0,41.0,Hourglass,1.0,0.0,0.0,0.0,95.5
47.0,161.5,55.0,38.0,Rectangle,0.0,0.0,1.0,0.0,54.1
21.0,178.0,65.0,40.0,Hourglass,1.0,0.0,0.0,0.0,69.5
22.4,170.0,55.0,38.5,Hourglass,1.0,0.0,0.0,0.0,56.9
32.4,172.0,52.0,37.0,Hourglass,1.0,0.0,0.0,0.0,53.5
24.0,174.0,60.0,37.0,Hourglass,1.0,0.0,0.0,0.0,62.7
21.1,169.0,59.0,38.0,Rectangle,0.0,0.0,1.0,0.0,59.5
21.4,164.0,53.0,38.0,Hourglass,1.0,0.0,0.0,0.0,57.2
40.5,155.0,48.0,35.5,Rectangle,0.0,0.0,1.0,0.0,50.3
51.0,168.0,77.0,36.0,Rectangle,0.0,0.0,1.0,0.0,77.9
44.0,173.0,73.0,39.0,Rectangle,0.0,0.0,1.0,0.0,67.8
23.0,178.0,70.0,39.0,Hourglass,1.0,0.0,0.0,0.0,70.8
50.0,165.0,72.0,37.0,Rectangle,0.0,0.0,1.0,0.0,73.8
42.0,157.0,67.5,37.0,Hourglass,1.0,0.0,0.0,0.0,66.2
60.0,176.0,75.0,40.0,Rectangle,0.0,0.0,1.0,0.0,76.9
25.6,165.0,55.0,37.0,Rectangle,0.0,0.0,1.0,0.0,56.3
29.8,157.0,44.0,35.5,Rectangle,0.0,0.0,1.0,0.0,43.7
25.0,169.0,56.0,38.0,Hourglass,1.0,0.0,0.0,0.0,55.0
45.0,175.0,68.0,41.0,Rectangle,0.0,0.0,1.0,0.0,67.8
59.0,170.0,86.0,40.0,Hourglass,1.0,0.0,0.0,0.0,86.5
19.4,169.0,52.0,37.0,Rectangle,0.0,0.0,1.0,0.0,53.7
35.0,170.0,71.0,38.0,Rectangle,0.0,0.0,1.0,0.0,73.3
19.0,169.0,50.0,40.0,Rectangle,0.0,0.0,1.0,0.0,48.7
31.8,170.0,53.0,37.5,Rectangle,0.0,0.0,1.0,0.0,52.5
44.0,172.0,78.0,39.0,Inverted Triangle,0.0,1.0,0.0,0.0,80.4
38.0,163.0,62.0,39.0,Triangle,0.0,0.0,0.0,1.0,64.7
34.0,168.0,78.7,39.0,Hourglass,1.0,0.0,0.0,0.0,86.3
61.0,163.0,77.0,40.0,Rectangle,0.0,0.0,1.0,0.0,81.0
21.9,170.0,62.0,38.0,Rectangle,0.0,0.0,1.0,0.0,62.2
21.6,165.0,54.0,38.0,Triangle,0.0,0.0,0.0,1.0,55.3
28.0,159.0,70.0,37.0,Rectangle,0.0,0.0,1.0,0.0,70.8
25.0,175.0,66.0,40.0,Rectangle,0.0,0.0,1.0,0.0,66.4
61.2,158.0,54.5,37.0,Hourglass,1.0,0.0,0.0,0.0,54.5
24.0,163.0,46.0,37.5,Triangle,0.0,0.0,0.0,1.0,47.0
22.0,169.0,55.5,39.5,Triangle,0.0,0.0,0.0,1.0,56.3
46.0,170.0,85.0,41.0,Hourglass,1.0,0.0,0.0,0.0,87.9
31.6,163.0,52.0,37.0,Triangle,0.0,0.0,0.0,1.0,50.1
34.8,156.0,50.0,37.0,Hourglass,1.0,0.0,0.0,0.0,49.7
20.0,160.0,75.0,41.0,Triangle,0.0,0.0,0.0,1.0,81.8
57.0,176.0,80.0,38.0,Rectangle,0.0,0.0,1.0,0.0,79.3
29.6,167.0,74.4,40.0,Hourglass,1.0,0.0,0.0,0.0,73.2
58.0,155.0,67.0,39.0,Rectangle,0.0,0.0,1.0,0.0,68.3
51.0,169.0,68.0,39.0,Hourglass,1.0,0.0,0.0,0.0,69.4
22.1,150.0,52.0,36.0,Rectangle,0.0,0.0,1.0,0.0,51.8
23.5,157.0,57.0,36.0,Rectangle,0.0,0.0,1.0,0.0,55.5
48.0,156.0,79.0,38.0,Hourglass,1.0,0.0,0.0,0.0,78.0
25.0,168.0,49.0,39.0,Rectangle,0.0,0.0,1.0,0.0,49.0
42.0,150.0,74.0,37.0,Inverted Triangle,0.0,1.0,0.0,0.0,75.7
51.0,178.0,85.0,42.0,Rectangle,0.0,0.0,1.0,0.0,91.9
30.0,170.0,70.0,39.0,Hourglass,1.0,0.0,0.0,0.0,74.9
53.0,168.0,58.0,37.0,Rectangle,0.0,0.0,1.0,0.0,59.9
29.0,183.0,78.0,40.0,Hourglass,1.0,0.0,0.0,0.0,79.9
20.0,174.0,68.0,41.0,Triangle,0.0,0.0,0.0,1.0,73.0
24.6,173.0,58.0,39.5,Hourglass,1.0,0.0,0.0,0.0,57.6
47.0,167.0,57.0,38.0,Hourglass,1.0,0.0,0.0,0.0,60.7
47.4,152.0,56.0,36.5,Rectangle,0.0,0.0,1.0,0.0,56.2
35.0,172.0,77.0,40.0,Hourglass,1.0,0.0,0.0,0.0,78.4
18.5,157.0,55.0,39.0,Rectangle,0.0,0.0,1.0,0.0,59.3
21.0,170.0,56.0,39.0,Rectangle,0.0,0.0,1.0,0.0,55.0
26.0,159.0,49.0,36.0,Hourglass,1.0,0.0,0.0,0.0,47.4
51.0,164.0,85.0,38.0,Rectangle,0.0,0.0,1.0,0.0,86.8
23.5,160.0,50.0,37.0,Hourglass,1.0,0.0,0.0,0.0,49.2
29.2,152.0,39.0,36.0,Hourglass,1.0,0.0,0.0,0.0,37.9
42.0,165.0,56.0,39.0,Hourglass,1.0,0.0,0.0,0.0,57.4
56.0,177.0,75.0,39.0,Rectangle,0.0,0.0,1.0,0.0,75.4
61.0,164.0,115.0,41.0,Hourglass,1.0,0.0,0.0,0.0,115.6
44.0,173.0,111.0,42.0,Inverted Triangle,0.0,1.0,0.0,0.0,113.9
34.0,156.0,56.0,34.5,Hourglass,1.0,0.0,0.0,0.0,55.3
28.0,173.0,66.0,40.0,Hourglass,1.0,0.0,0.0,0.0,67.8
23.0,179.0,54.0,39.0,Rectangle,0.0,0.0,1.0,0.0,54.1
30.0,169.0,57.0,37.0,Hourglass,1.0,0.0,0.0,0.0,56.8
33.0,162.0,77.0,36.0,Hourglass,1.0,0.0,0.0,0.0,76.4
20.5,168.0,63.0,41.5,Rectangle,0.0,0.0,1.0,0.0,63.3
54.8,168.0,64.0,38.0,Rectangle,0.0,0.0,1.0,0.0,66.0
24.1,164.0,53.0,38.0,Hourglass,1.0,0.0,0.0,0.0,52.9
19.9,170.0,55.0,40.0,Rectangle,0.0,0.0,1.0,0.0,61.1
