"Waist Circumference, Pref (mm)",Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
795.0,952.0,760.0,399.0,1070.0,767.0,621.0,427.0,1039.0,603.0,885.0,64.0,79.0
836.0,1051.0,900.0,444.0,1023.0,756.0,633.0,415.0,1030.0,566.0,991.0,65.77,78.04
696.0,919.0,816.0,451.0,1000.0,777.0,587.0,387.0,1013.0,579.0,854.0,59.23,84.01
713.0,917.0,756.0,437.0,967.0,788.0,520.0,403.0,1034.0,592.0,870.0,67.91,76.69
1099.0,1191.0,980.0,445.0,1135.0,778.0,648.0,447.0,1039.0,606.0,1027.0,57.34,80.76
973.0,1044.0,845.0,445.0,1177.0,805.0,705.0,416.0,1002.0,598.0,983.0,63.56,78.11
879.0,1046.0,873.0,424.0,1168.0,799.0,723.0,486.0,1065.0,599.0,989.0,64.74,74.87
660.0,858.0,757.0,420.0,996.0,757.0,565.0,413.0,1001.0,576.0,848.0,69.28,74.24
847.0,980.0,805.0,464.0,1044.0,800.0,600.0,441.0,1055.0,580.0,938.0,62.49,91.79
1144.0,1208.0,1049.0,480.0,1197.0,810.0,695.0,432.0,1036.0,603.0,1085.0,63.56,83.25
760.0,894.0,707.0,431.0,982.0,746.0,539.0,379.0,920.0,562.0,819.0,58.0,75.0
881.0,1123.0,895.0,495.0,1126.0,889.0,649.0,464.0,1148.0,670.0,1032.0,72.15,95.46
733.0,871.0,742.0,392.0,935.0,820.0,540.0,390.0,1009.0,572.0,834.0,69.03,78.91
725.0,910.0,774.0,437.0,980.0,733.0,544.0,413.0,937.0,558.0,855.0,67.0,74.0
857.0,1002.0,830.0,458.0,1145.0,802.0,666.0,428.0,1052.0,604.0,905.0,62.51,84.32
739.0,975.0,828.0,417.0,1015.0,781.0,565.0,397.0,1036.0,608.0,910.0,72.9,75.4
694.0,849.0,718.0,385.0,913.0,749.0,488.0,396.0,960.0,567.0,826.0,58.96,79.74
699.0,864.0,761.0,400.0,1042.0,778.0,611.0,398.0,1014.0,568.0,822.0,58.17,84.67
865.0,959.0,791.0,438.0,1129.0,828.0,646.0,435.0,1074.0,582.0,942.0,69.79,89.57
758.0,924.0,754.0,431.0,920.0,679.0,522.0,405.0,878.0,494.0,858.0,59.55,73.5
1072.0,1190.0,1042.0,432.0,1273.0,624.0,696.0,487.0,916.0,538.0,1063.0,71.19,78.37
837.0,920.0,815.0,366.0,997.0,688.0,595.0,413.0,928.0,510.0,905.0,58.96,72.17
