"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),Weight (kg),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
823.0,930.0,475.0,969.0,809.0,558.0,445.0,999.0,622.0,939.0,66.6,80.0,96.0
902.0,1028.0,485.0,1064.0,873.0,626.0,501.0,1096.0,648.0,1040.0,85.0,64.34,99.44
1082.0,1195.0,496.0,1065.0,770.0,602.0,540.0,1005.0,617.0,1156.0,98.8,67.58,83.49
1011.0,1097.0,517.0,1117.0,933.0,662.0,528.0,1157.0,710.0,1121.0,110.3,82.08,96.85
766.0,815.0,458.0,950.0,751.0,545.0,407.0,934.0,618.0,850.0,58.2,70.0,78.0
860.0,938.0,449.0,1045.0,848.0,606.0,457.0,1032.0,635.0,967.0,76.7,70.22,93.84
786.0,950.0,505.0,995.0,785.0,609.0,458.0,997.0,617.0,995.0,71.7,64.0,78.0
757.0,835.0,430.0,890.0,845.0,495.0,427.0,1056.0,620.0,832.0,50.2,66.0,73.0
750.0,925.0,498.0,905.0,814.0,533.0,453.0,1026.0,615.0,949.0,66.0,72.0,91.0
985.0,1106.0,508.0,1090.0,752.0,612.0,481.0,948.0,635.0,1067.0,89.7,72.0,83.0
875.0,940.0,470.0,970.0,759.0,564.0,438.0,992.0,609.0,961.0,69.4,70.0,82.0
901.0,1012.0,476.0,1008.0,820.0,585.0,491.0,1009.0,615.0,1039.0,79.6,70.13,89.24
955.0,1026.0,470.0,1074.0,813.0,660.0,500.0,1027.0,701.0,1045.0,87.2,76.0,89.0
774.0,898.0,482.0,952.0,798.0,529.0,412.0,999.0,621.0,894.0,62.9,68.0,84.0
1054.0,1129.0,497.0,1101.0,824.0,670.0,480.0,1057.0,643.0,1119.0,105.0,64.65,92.82
755.0,874.0,463.0,934.0,779.0,555.0,436.0,1015.0,618.0,880.0,63.7,66.0,79.0
877.0,961.0,450.0,962.0,857.0,568.0,468.0,1078.0,645.0,977.0,85.7,71.98,87.85
920.0,1054.0,500.0,1072.0,885.0,633.0,480.0,1120.0,645.0,1048.0,97.8,73.41,98.97
865.0,1023.0,446.0,1057.0,812.0,614.0,507.0,1038.0,630.0,1049.0,80.9,77.49,97.11
852.0,978.0,455.0,978.0,910.0,541.0,456.0,1171.0,662.0,1013.0,82.6,86.09,97.72
1263.0,1239.0,622.0,1184.0,931.0,758.0,519.0,1187.0,728.0,1209.0,141.0,92.77,107.67
851.0,982.0,491.0,974.0,856.0,541.0,444.0,1058.0,611.0,956.0,75.9,76.52,89.25
835.0,949.0,480.0,956.0,818.0,551.0,461.0,1037.0,637.0,957.0,69.8,70.01,92.2
762.0,886.0,455.0,974.0,801.0,552.0,446.0,1027.0,607.0,898.0,65.6,74.0,75.0
877.0,981.0,505.0,963.0,787.0,578.0,482.0,984.0,638.0,1011.0,75.0,70.0,73.0
836.0,892.0,441.0,953.0,932.0,582.0,462.0,1128.0,682.0,932.0,75.0,82.01,90.24
957.0,1072.0,486.0,1073.0,764.0,622.0,462.0,1029.0,620.0,1054.0,86.8,72.0,90.0
992.0,1112.0,513.0,1052.0,786.0,562.0,441.0,974.0,607.0,1065.0,83.5,79.03,82.41
843.0,985.0,483.0,1006.0,901.0,590.0,467.0,1129.0,644.0,983.0,74.8,78.0,88.0
836.0,1071.0,509.0,976.0,755.0,582.0,502.0,977.0,585.0,1082.0,81.3,69.0,83.0
764.0,882.0,486.0,969.0,866.0,520.0,462.0,1108.0,679.0,913.0,68.9,74.37,92.32
813.0,908.0,466.0,974.0,835.0,555.0,471.0,1082.0,637.0,936.0,69.5,82.14,98.63
858.0,1006.0,464.0,1051.0,794.0,636.0,484.0,993.0,598.0,1021.0,79.0,61.95,81.15
790.0,940.0,460.0,940.0,762.0,586.0,451.0,965.0,605.0,934.0,65.6,56.0,72.0
839.0,970.0,453.0,980.0,834.0,586.0,439.0,1053.0,612.0,970.0,72.5,73.58,77.34
919.0,978.0,560.0,1059.0,961.0,624.0,471.0,1164.0,711.0,998.0,86.2,75.18,100.58
927.0,1019.0,490.0,1066.0,889.0,613.0,478.0,1104.0,669.0,1042.0,91.7,80.02,96.5
936.0,1025.0,500.0,1020.0,741.0,610.0,475.0,933.0,573.0,1065.0,83.3,60.0,80.0
866.0,956.0,465.0,910.0,817.0,520.0,461.0,1041.0,654.0,944.0,67.7,66.0,83.0
