Subject Number,Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Hourglass,Inverted Triangle,Rectangle,Triangle,Weight (kg)
17025,54.0,165.0,82.0,42.0,Hourglass,1.0,0.0,0.0,0.0,81.4
4140,35.9,165.0,57.0,37.0,Hourglass,1.0,0.0,0.0,0.0,60.5
16171,20.0,175.0,64.0,38.0,Rectangle,0.0,0.0,1.0,0.0,63.9
11146,44.0,173.0,73.0,39.0,Rectangle,0.0,0.0,1.0,0.0,67.8
15728,27.0,165.0,60.5,38.0,Hourglass,1.0,0.0,0.0,0.0,60.0
4395,43.5,163.0,50.0,35.5,Triangle,0.0,0.0,0.0,1.0,49.6
15208,32.0,180.0,88.0,40.0,Hourglass,1.0,0.0,0.0,0.0,94.0
4116,29.6,156.0,51.0,36.5,Hourglass,1.0,0.0,0.0,0.0,49.7
4006,26.0,165.0,51.0,37.5,Rectangle,0.0,0.0,1.0,0.0,52.0
4376,25.5,153.0,53.0,37.0,Hourglass,1.0,0.0,0.0,0.0,52.8
4313,21.0,158.0,47.0,38.5,Rectangle,0.0,0.0,1.0,0.0,47.6
15291,56.0,163.0,75.0,39.0,Rectangle,0.0,0.0,1.0,0.0,74.1
4483,34.1,160.0,56.0,37.0,Hourglass,1.0,0.0,0.0,0.0,56.4
4260,18.1,172.0,58.0,39.5,Triangle,0.0,0.0,0.0,1.0,57.9
4630,19.1,150.0,50.0,38.0,Rectangle,0.0,0.0,1.0,0.0,53.8
4671,31.1,167.0,53.0,37.5,Rectangle,0.0,0.0,1.0,0.0,54.0
16527,26.0,160.0,46.0,37.0,Hourglass,1.0,0.0,0.0,0.0,44.0
4668,19.4,165.0,46.8,38.0,Rectangle,0.0,0.0,1.0,0.0,46.4
16890,23.0,168.0,59.0,39.0,Rectangle,0.0,0.0,1.0,0.0,59.3
16588,22.0,178.0,60.0,40.0,Rectangle,0.0,0.0,1.0,0.0,60.9
11001,39.0,173.0,60.0,37.0,Hourglass,1.0,0.0,0.0,0.0,60.9
16550,44.0,175.0,126.0,40.0,Triangle,0.0,0.0,0.0,1.0,130.0
15507,31.0,161.0,80.0,37.0,Hourglass,1.0,0.0,0.0,0.0,86.5
16465,35.0,158.0,60.0,37.0,Hourglass,1.0,0.0,0.0,0.0,59.2
15536,47.0,174.0,69.0,40.0,Rectangle,0.0,0.0,1.0,0.0,68.8
16408,48.0,156.0,79.0,38.0,Hourglass,1.0,0.0,0.0,0.0,78.0
15780,21.0,167.0,51.0,39.0,Rectangle,0.0,0.0,1.0,0.0,50.6
4458,26.5,155.0,50.0,37.0,Rectangle,0.0,0.0,1.0,0.0,49.5
4341,20.0,166.0,63.0,38.0,Triangle,0.0,0.0,0.0,1.0,58.3
11344,46.0,168.0,64.0,39.0,Hourglass,1.0,0.0,0.0,0.0,71.3
11306,34.0,168.0,78.7,39.0,Hourglass,1.0,0.0,0.0,0.0,86.3
15220,49.0,160.0,80.0,38.0,Rectangle,0.0,0.0,1.0,0.0,80.4
11165,60.0,168.0,86.0,39.0,Inverted Triangle,0.0,1.0,0.0,0.0,86.0
4578,58.1,172.0,65.0,40.0,Hourglass,1.0,0.0,0.0,0.0,67.9
11315,60.0,170.0,75.0,40.0,Rectangle,0.0,0.0,1.0,0.0,74.5
15838,47.0,163.0,59.0,37.0,Hourglass,1.0,0.0,0.0,0.0,58.8
13011,34.0,164.0,57.0,39.0,Hourglass,1.0,0.0,0.0,0.0,58.6
11355,61.0,168.0,88.0,39.0,Rectangle,0.0,0.0,1.0,0.0,89.3
