"Waist Circumference, Pref (mm)",Chest Girth (Chest Circumference at Scye) (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm)
811.0,892.0,411.0,993.0,757.0
986.0,1014.0,461.0,1102.0,754.0
790.0,900.0,434.0,1021.0,816.0
725.0,820.0,428.0,994.0,778.0
830.0,967.0,470.0,1055.0,775.0
770.0,819.0,425.0,1031.0,759.0
955.0,924.0,445.0,1075.0,737.0
853.0,905.0,458.0,1046.0,725.0
885.0,1022.0,503.0,1164.0,872.0
719.0,897.0,379.0,986.0,777.0
733.0,811.0,416.0,957.0,715.0
709.0,791.0,424.0,969.0,808.0
717.0,821.0,450.0,905.0,765.0
816.0,881.0,440.0,1036.0,925.0
995.0,1014.0,491.0,1202.0,795.0
851.0,933.0,441.0,1102.0,706.0
793.0,854.0,444.0,985.0,810.0
1226.0,1171.0,468.0,1063.0,801.0
714.0,815.0,416.0,915.0,748.0
825.0,910.0,436.0,1130.0,685.0
904.0,1000.0,434.0,1021.0,717.0
725.0,835.0,400.0,935.0,740.0
701.0,880.0,435.0,1007.0,802.0
745.0,830.0,413.0,960.0,810.0
695.0,796.0,396.0,1017.0,814.0
792.0,901.0,436.0,979.0,787.0
795.0,898.0,413.0,1011.0,796.0
1245.0,1156.0,487.0,1525.0,831.0
795.0,885.0,399.0,1070.0,767.0
708.0,815.0,415.0,934.0,738.0
795.0,922.0,412.0,960.0,726.0
720.0,854.0,405.0,930.0,862.0
734.0,855.0,420.0,1053.0,715.0
690.0,870.0,401.0,1027.0,754.0
795.0,875.0,453.0,1006.0,843.0
761.0,900.0,438.0,1042.0,867.0
1030.0,1059.0,542.0,1139.0,747.0
695.0,905.0,403.0,951.0,733.0
903.0,883.0,434.0,1100.0,752.0
802.0,927.0,444.0,1101.0,876.0
771.0,858.0,435.0,986.0,724.0
832.0,979.0,495.0,1041.0,800.0
984.0,1043.0,460.0,1116.0,826.0
749.0,830.0,447.0,965.0,777.0
756.0,820.0,422.0,1011.0,758.0
832.0,921.0,400.0,1082.0,725.0
759.0,800.0,430.0,980.0,715.0
719.0,836.0,432.0,936.0,745.0
973.0,983.0,445.0,1177.0,805.0
903.0,976.0,462.0,1040.0,725.0
696.0,820.0,410.0,911.0,678.0
741.0,860.0,409.0,922.0,704.0
775.0,880.0,410.0,990.0,786.0
750.0,884.0,447.0,984.0,766.0
633.0,810.0,395.0,937.0,745.0
717.0,845.0,431.0,970.0,794.0
792.0,971.0,450.0,1085.0,751.0
747.0,818.0,411.0,970.0,737.0
671.0,844.0,428.0,952.0,807.0
696.0,836.0,434.0,958.0,751.0
831.0,969.0,455.0,1170.0,739.0
775.0,831.0,442.0,962.0,768.0
715.0,841.0,412.0,915.0,722.0
675.0,850.0,390.0,971.0,749.0
849.0,946.0,446.0,984.0,820.0
829.0,869.0,420.0,1029.0,771.0
730.0,878.0,430.0,1161.0,795.0
797.0,927.0,460.0,1033.0,767.0
747.0,860.0,390.0,1012.0,747.0
591.0,764.0,391.0,876.0,800.0
815.0,897.0,428.0,1046.0,697.0
985.0,1027.0,445.0,1072.0,685.0
829.0,896.0,422.0,1037.0,767.0
651.0,826.0,396.0,959.0,723.0
929.0,990.0,468.0,1150.0,777.0
675.0,788.0,436.0,897.0,714.0
720.0,909.0,450.0,953.0,764.0
1135.0,1090.0,530.0,1159.0,716.0
982.0,1040.0,434.0,1220.0,791.0
695.0,842.0,405.0,914.0,781.0
765.0,814.0,400.0,974.0,753.0
937.0,1019.0,439.0,1126.0,722.0
879.0,942.0,455.0,1095.0,874.0
722.0,893.0,413.0,1003.0,818.0
659.0,794.0,400.0,889.0,732.0
998.0,1020.0,437.0,1150.0,911.0
842.0,931.0,479.0,1085.0,808.0
725.0,929.0,450.0,1006.0,730.0
738.0,874.0,427.0,961.0,777.0
737.0,877.0,440.0,1086.0,802.0
890.0,954.0,410.0,1066.0,834.0
677.0,818.0,400.0,926.0,756.0
905.0,1016.0,420.0,1114.0,783.0
766.0,894.0,440.0,956.0,755.0
694.0,826.0,385.0,913.0,749.0
788.0,864.0,459.0,1004.0,809.0
730.0,879.0,392.0,888.0,728.0
824.0,822.0,416.0,990.0,778.0
755.0,835.0,404.0,993.0,812.0
725.0,875.0,396.0,878.0,801.0
730.0,760.0,422.0,985.0,741.0
686.0,901.0,424.0,984.0,752.0
652.0,829.0,470.0,925.0,786.0
774.0,852.0,415.0,985.0,735.0
749.0,858.0,456.0,985.0,768.0
720.0,862.0,470.0,1011.0,808.0
747.0,943.0,429.0,1020.0,812.0
747.0,850.0,411.0,964.0,772.0
783.0,891.0,421.0,1035.0,772.0
645.0,802.0,397.0,920.0,749.0
794.0,880.0,405.0,945.0,668.0
758.0,911.0,413.0,1058.0,835.0
835.0,901.0,446.0,1053.0,808.0
792.0,913.0,450.0,1037.0,685.0
1135.0,1059.0,489.0,1294.0,729.0
902.0,962.0,475.0,1048.0,882.0
1047.0,1124.0,490.0,1100.0,717.0
725.0,890.0,414.0,966.0,873.0
740.0,869.0,437.0,955.0,724.0
840.0,922.0,435.0,1047.0,820.0
733.0,867.0,425.0,960.0,760.0
885.0,977.0,477.0,1165.0,758.0
674.0,824.0,447.0,929.0,750.0
922.0,927.0,488.0,1099.0,818.0
790.0,913.0,445.0,1090.0,799.0
